ortholog	gene	phenotype	taxon
Clock	['CLOCK', 'clock circadian regulator']	abnormal intestinal absorption	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	abnormal intestinal lipid absorption	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	abnormal enterocyte physiology	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	abnormal response to injury	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	Abnormality of circulating protein level	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	decreased physiological sensitivity to xenobiotic	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	abnormal hair cycle	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	abnormal hair cycle anagen phase	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	increased circulating free fatty acid level	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	decreased circulating glucose level	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	Hypoinsulinemia	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	Hyperinsulinemia	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	abnormal circadian period	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	enhanced behavioral response to cocaine	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	abnormal pregnancy	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	short proestrus	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	prolonged estrous cycle	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	prolonged estrus	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	decreased circulating progesterone level	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	increased circulating progesterone level	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	increased circulating estradiol level	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	decreased circulating estradiol level	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	abnormal single cell response	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	abnormal gluconeogenesis	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	abnormal parturition	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	increased insulin sensitivity	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	abnormal lipid homeostasis	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	abnormal response to new environment	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	Decreased circulating luteinizing hormone level	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	Abnormal circulating luteinizing hormone level	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	Abnormal glucose homeostasis	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	abnormal spatial learning	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	abnormal circadian temperature homeostasis	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	abnormal nucleus accumbens morphology	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	abnormal medium spiny neuron morphology	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	Abnormal nervous system electrophysiology	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	decreased insulin secretion	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	abnormal pancreatic islet morphology	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	small pancreatic islets	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	abnormal pancreatic islet cell apoptosis	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	Glucose intolerance	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	Insulin resistance	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	Abnormality of pancreas physiology	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	Hyperglycemia	Mus musculus
Clock	['CLOCK', 'clock circadian regulator']	advanced circadian phase	Mus musculus
rest	['REST', 'RE1-silencing transcription factor']	abnormal(ly) morphology whole organism posterior region	Danio rerio
rest	['REST', 'RE1-silencing transcription factor']	abnormal(ly) decreased weight whole organism	Danio rerio
rest	['REST', 'RE1-silencing transcription factor']	['abnormal(ly) curved whole organism anterior/posterior axis', 'abnormal(ly) curved whole organism anterior-posterior axis']	Danio rerio
rest	['REST', 'RE1-silencing transcription factor']	abnormal(ly) semi-viable whole organism	Danio rerio
rest	['REST', 'RE1-silencing transcription factor']	abnormal(ly) dead whole organism	Danio rerio
rest	['REST', 'RE1-silencing transcription factor']	abnormal(ly) disrupted spinal cord oligodendrocyte cell differentiation	Danio rerio
rest	['REST', 'RE1-silencing transcription factor']	['abnormal(ly) present in fewer numbers in organism oligodendrocyte', 'abnormal(ly) decreased amount oligodendrocyte']	Danio rerio
rest	['REST', 'RE1-silencing transcription factor']	abnormal(ly) mislocalised rhombomere 5 neuronal cell body	Danio rerio
rest	['REST', 'RE1-silencing transcription factor']	abnormal(ly) mislocalised rhombomere 4 neuronal cell body	Danio rerio
rest	['REST', 'RE1-silencing transcription factor']	abnormal(ly) mislocalised anteriorly cranial nerve VII neuronal cell body	Danio rerio
rest	['REST', 'RE1-silencing transcription factor']	abnormal(ly) disrupted facial nerve development	Danio rerio
rest	['REST', 'RE1-silencing transcription factor']	abnormal(ly) mislocalised rhombomere 7 neuronal cell body	Danio rerio
rest	['REST', 'RE1-silencing transcription factor']	abnormal(ly) decreased male fertility male organism	Danio rerio
rest	['REST', 'RE1-silencing transcription factor']	abnormal(ly) increased duration swimming behavior	Danio rerio
rest	['REST', 'RE1-silencing transcription factor']	abnormal(ly) increased female fertility female organism	Danio rerio
rest	['REST', 'RE1-silencing transcription factor']	abnormal(ly) process quality swimming behavior	Danio rerio
rest	['REST', 'RE1-silencing transcription factor']	abnormal(ly) decreased fertility whole organism	Danio rerio
rest	['REST', 'RE1-silencing transcription factor']	branchiomotor neuron axon guidance phenotype	Danio rerio
rest	['REST', 'RE1-silencing transcription factor']	negative regulation of gene expression phenotype	Danio rerio
Rest	['REST', 'RE1-silencing transcription factor']	abnormal retinal development	Mus musculus
Rest	['REST', 'RE1-silencing transcription factor']	Abnormality of the retina	Mus musculus
Rest	['REST', 'RE1-silencing transcription factor']	increased retinal ganglion cell number	Mus musculus
Rest	['REST', 'RE1-silencing transcription factor']	abnormal retinal inner plexiform layer morphology	Mus musculus
Rest	['REST', 'RE1-silencing transcription factor']	abnormal retinal ganglion layer morphology	Mus musculus
Rest	['REST', 'RE1-silencing transcription factor']	abnormal retinal progenitor cell morphology	Mus musculus
Rest	['REST', 'RE1-silencing transcription factor']	thick retinal ganglion layer	Mus musculus
Rest	['REST', 'RE1-silencing transcription factor']	increased neuron apoptosis	Mus musculus
Rest	['REST', 'RE1-silencing transcription factor']	embryonic lethality, complete penetrance	Mus musculus
Rest	['REST', 'RE1-silencing transcription factor']	abnormal neuron differentiation	Mus musculus
Rest	['REST', 'RE1-silencing transcription factor']	premature neuronal precursor differentiation	Mus musculus
Rest	['REST', 'RE1-silencing transcription factor']	decreased neuron number	Mus musculus
Rest	['REST', 'RE1-silencing transcription factor']	abnormal primordial germ cell apoptosis	Mus musculus
Rest	['REST', 'RE1-silencing transcription factor']	decreased primordial germ cell number	Mus musculus
Rest	['REST', 'RE1-silencing transcription factor']	small embryonic telencephalon	Mus musculus
Rest	['REST', 'RE1-silencing transcription factor']	abnormal somite development	Mus musculus
Rest	['REST', 'RE1-silencing transcription factor']	embryonic lethality during organogenesis, complete penetrance	Mus musculus
Rest	['REST', 'RE1-silencing transcription factor']	abnormal midbrain development	Mus musculus
Rest	['REST', 'RE1-silencing transcription factor']	embryonic growth retardation	Mus musculus
Rest	['REST', 'RE1-silencing transcription factor']	increased embryonic tissue cell apoptosis	Mus musculus
Rest	['REST', 'RE1-silencing transcription factor']	abnormal cranial flexure morphology	Mus musculus
Rest	['REST', 'RE1-silencing transcription factor']	Abnormality of forebrain morphology	Mus musculus
Rest	['REST', 'RE1-silencing transcription factor']	Bradycardia	Mus musculus
Rest	['REST', 'RE1-silencing transcription factor']	Decreased mean platelet volume	Mus musculus
Rest	['REST', 'RE1-silencing transcription factor']	Aortic dilatation	Mus musculus
Rest	['REST', 'RE1-silencing transcription factor']	preweaning lethality, complete penetrance	Mus musculus
polr2b	['POLR2B', 'polymerase (RNA) II (DNA directed) polypeptide B, 140kDa']	abnormal(ly) viability whole organism	Danio rerio
polr2b	['POLR2B', 'polymerase (RNA) II (DNA directed) polypeptide B, 140kDa']	abnormal(ly) necrotic central nervous system	Danio rerio
polr2b	['POLR2B', 'polymerase (RNA) II (DNA directed) polypeptide B, 140kDa']	abnormal(ly) flat head	Danio rerio
polr2b	['POLR2B', 'polymerase (RNA) II (DNA directed) polypeptide B, 140kDa']	abnormal(ly) necrotic whole organism	Danio rerio
polr2b	['POLR2B', 'polymerase (RNA) II (DNA directed) polypeptide B, 140kDa']	abnormal(ly) necrotic brain	Danio rerio
Uba6	UBA6	decreased neuron number	Mus musculus
Uba6	UBA6	increased carbon dioxide production	Mus musculus
Uba6	UBA6	abnormal spatial working memory	Mus musculus
Uba6	UBA6	abnormal hippocampus CA3 region morphology	Mus musculus
Uba6	UBA6	increased oxygen consumption	Mus musculus
Uba6	UBA6	increased energy expenditure	Mus musculus
Uba6	UBA6	enhanced coordination	Mus musculus
Uba6	UBA6	abnormal depression-related behavior	Mus musculus
Uba6	UBA6	increased thigmotaxis	Mus musculus
Uba6	UBA6	premature death	Mus musculus
Uba6	UBA6	abnormal habituation to a new environment	Mus musculus
Uba6	UBA6	postnatal lethality, incomplete penetrance	Mus musculus
Uba6	UBA6	increased startle reflex	Mus musculus
Uba6	UBA6	abnormal pilomotor reflex	Mus musculus
Uba6	UBA6	aphagia	Mus musculus
Uba6	UBA6	abnormal nest building behavior	Mus musculus
Uba6	UBA6	decreased body length	Mus musculus
Uba6	UBA6	abnormal social investigation	Mus musculus
Uba6	UBA6	decreased grip strength	Mus musculus
Uba6	UBA6	abnormal hippocampus morphology	Mus musculus
Uba6	UBA6	abnormal amygdala morphology	Mus musculus
Uba6	UBA6	decreased prepulse inhibition	Mus musculus
Uba6	UBA6	impaired contextual conditioning behavior	Mus musculus
Uba6	UBA6	decreased birth weight	Mus musculus
Uba6	UBA6	abnormal dendritic spine morphology	Mus musculus
Uba6	UBA6	Hyperactivity	Mus musculus
Uba6	UBA6	Brain very small	Mus musculus
Uba6	UBA6	Decreased body weight	Mus musculus
Uba6	UBA6	Abnormality of metabolism/homeostasis	Mus musculus
Uba6	UBA6	no abnormal phenotype detected	Mus musculus
Uba6	UBA6	embryonic lethality, complete penetrance	Mus musculus
Ankrd17	ANKRD17	no abnormal phenotype detected	Mus musculus
Ankrd17	ANKRD17	abnormal vascular smooth muscle morphology	Mus musculus
Ankrd17	ANKRD17	abnormal heart development	Mus musculus
Ankrd17	ANKRD17	abnormal vascular development	Mus musculus
Ankrd17	ANKRD17	trabecula carnea hypoplasia	Mus musculus
Ankrd17	ANKRD17	distended pericardium	Mus musculus
Ankrd17	ANKRD17	pale yolk sac	Mus musculus
Ankrd17	ANKRD17	embryonic lethality during organogenesis, complete penetrance	Mus musculus
Ankrd17	ANKRD17	abnormal cardiac mesenchyme morphology	Mus musculus
Ankrd17	ANKRD17	thin myocardium	Mus musculus
Ankrd17	ANKRD17	increased vascular permeability	Mus musculus
Ankrd17	ANKRD17	abnormal capillary morphology	Mus musculus
Ankrd17	ANKRD17	embryonic growth retardation	Mus musculus
Ankrd17	ANKRD17	Spina bifida	Mus musculus
Ankrd17	ANKRD17	Abnormality of the vasculature	Mus musculus
Ankrd17	ANKRD17	Internal hemorrhage	Mus musculus
Ankrd17	ANKRD17	Intracranial hemorrhage	Mus musculus
Ankrd17	ANKRD17	Hemopericardium	Mus musculus
G3bp2	G3BP2	preweaning lethality, complete penetrance	Mus musculus
G3bp2	G3BP2	preweaning lethality	Mus musculus
G3bp2	G3BP2	premature death	Mus musculus
Cops4	COPS4	hypoactivity	Mus musculus
Cops4	COPS4	Behavioral abnormality	Mus musculus
Cops4	COPS4	increased hemoglobin content	Mus musculus
Cops4	COPS4	increased mean corpuscular hemoglobin concentration	Mus musculus
Cops4	COPS4	Increased body weight	Mus musculus
Hnrnpd	['HNRNPD', 'heterogeneous nuclear ribonucleoprotein D']	increased circulating aspartate transaminase level	Mus musculus
Hnrnpd	['HNRNPD', 'heterogeneous nuclear ribonucleoprotein D']	increased circulating tumor necrosis factor level	Mus musculus
Hnrnpd	['HNRNPD', 'heterogeneous nuclear ribonucleoprotein D']	increased susceptibility to endotoxin shock	Mus musculus
Hnrnpd	['HNRNPD', 'heterogeneous nuclear ribonucleoprotein D']	decreased birth weight	Mus musculus
Hnrnpd	['HNRNPD', 'heterogeneous nuclear ribonucleoprotein D']	decreased birth body size	Mus musculus
Hnrnpd	['HNRNPD', 'heterogeneous nuclear ribonucleoprotein D']	kidney hemorrhage	Mus musculus
Hnrnpd	['HNRNPD', 'heterogeneous nuclear ribonucleoprotein D']	decreased body size	Mus musculus
Hnrnpd	['HNRNPD', 'heterogeneous nuclear ribonucleoprotein D']	abnormal macrophage physiology	Mus musculus
Hnrnpd	['HNRNPD', 'heterogeneous nuclear ribonucleoprotein D']	fetal growth retardation	Mus musculus
Hnrnpd	['HNRNPD', 'heterogeneous nuclear ribonucleoprotein D']	Decreased body weight	Mus musculus
Hnrnpd	['HNRNPD', 'heterogeneous nuclear ribonucleoprotein D']	Increased blood urea nitrogen (BUN)	Mus musculus
Hnrnpd	['HNRNPD', 'heterogeneous nuclear ribonucleoprotein D']	Recurrent bacterial infections	Mus musculus
Sec24b	['SEC24B', 'SEC24 homolog B, COPII coat complex component']	lung lobe morphogenesis phenotype	Mus musculus
Sec24b	['SEC24B', 'SEC24 homolog B, COPII coat complex component']	auditory receptor cell morphogenesis phenotype	Mus musculus
Sec24b	['SEC24B', 'SEC24 homolog B, COPII coat complex component']	lung morphogenesis phenotype	Mus musculus
Sec24b	['SEC24B', 'SEC24 homolog B, COPII coat complex component']	outflow tract morphogenesis phenotype	Mus musculus
Sec24b	['SEC24B', 'SEC24 homolog B, COPII coat complex component']	neural tube closure phenotype	Mus musculus
Sec24b	['SEC24B', 'SEC24 homolog B, COPII coat complex component']	aorta morphogenesis phenotype	Mus musculus
Sec24b	['SEC24B', 'SEC24 homolog B, COPII coat complex component']	regulation of establishment of planar polarity involved in neural tube closure phenotype	Mus musculus
Sec24b	['SEC24B', 'SEC24 homolog B, COPII coat complex component']	cardiovascular system development phenotype	Mus musculus
Sec24b	['SEC24B', 'SEC24 homolog B, COPII coat complex component']	Spina bifida	Mus musculus
Sec24b	['SEC24B', 'SEC24 homolog B, COPII coat complex component']	craniorachischisis	Mus musculus
Sec24b	['SEC24B', 'SEC24 homolog B, COPII coat complex component']	abnormal organ of Corti morphology	Mus musculus
Sec24b	['SEC24B', 'SEC24 homolog B, COPII coat complex component']	abnormal orientation of outer hair cell stereociliary bundles	Mus musculus
Sec24b	['SEC24B', 'SEC24 homolog B, COPII coat complex component']	abnormal cochlear outer hair cell morphology	Mus musculus
Sec24b	['SEC24B', 'SEC24 homolog B, COPII coat complex component']	abnormal cochlear inner hair cell morphology	Mus musculus
Sec24b	['SEC24B', 'SEC24 homolog B, COPII coat complex component']	abnormal cochlea morphology	Mus musculus
Sec24b	['SEC24B', 'SEC24 homolog B, COPII coat complex component']	ventricular hypoplasia	Mus musculus
Sec24b	['SEC24B', 'SEC24 homolog B, COPII coat complex component']	abnormal lung lobe morphology	Mus musculus
Sec24b	['SEC24B', 'SEC24 homolog B, COPII coat complex component']	abnormal visceral yolk sac morphology	Mus musculus
Sec24b	['SEC24B', 'SEC24 homolog B, COPII coat complex component']	lethality throughout fetal growth and development, complete penetrance	Mus musculus
Sec24b	['SEC24B', 'SEC24 homolog B, COPII coat complex component']	small lung	Mus musculus
Sec24b	['SEC24B', 'SEC24 homolog B, COPII coat complex component']	retroesophageal right subclavian artery	Mus musculus
Sec24b	['SEC24B', 'SEC24 homolog B, COPII coat complex component']	abnormal cardiac outflow tract development	Mus musculus
Sec24b	['SEC24B', 'SEC24 homolog B, COPII coat complex component']	Omphalocele	Mus musculus
Sec24b	['SEC24B', 'SEC24 homolog B, COPII coat complex component']	Transposition of the great arteries	Mus musculus
Sec24b	['SEC24B', 'SEC24 homolog B, COPII coat complex component']	lethality throughout fetal growth and development, incomplete penetrance	Mus musculus
Sec24b	['SEC24B', 'SEC24 homolog B, COPII coat complex component']	postnatal lethality, incomplete penetrance	Mus musculus
Sec24b	['SEC24B', 'SEC24 homolog B, COPII coat complex component']	abnormal embryo size	Mus musculus
Sec24b	['SEC24B', 'SEC24 homolog B, COPII coat complex component']	abnormal orientation of inner hair cell stereociliary bundles	Mus musculus
Sec24b	['SEC24B', 'SEC24 homolog B, COPII coat complex component']	failure of eyelid fusion	Mus musculus
Adad1	['ADAD1', 'adenosine deaminase domain containing 1']	spermatid development phenotype	Mus musculus
Adad1	['ADAD1', 'adenosine deaminase domain containing 1']	Male infertility	Mus musculus
Adad1	['ADAD1', 'adenosine deaminase domain containing 1']	impaired fertilization	Mus musculus
Adad1	['ADAD1', 'adenosine deaminase domain containing 1']	asthenozoospermia	Mus musculus
Adad1	['ADAD1', 'adenosine deaminase domain containing 1']	Abnormal sperm morphology	Mus musculus
Adad1	['ADAD1', 'adenosine deaminase domain containing 1']	Oligospermia	Mus musculus
Jade1	['JADE1', 'jade family PHD finger 1']	postnatal lethality, incomplete penetrance	Mus musculus
Inpp4b	['INPP4B', 'inositol polyphosphate-4-phosphatase type II B']	regulation of bone remodeling phenotype	Mus musculus
Inpp4b	['INPP4B', 'inositol polyphosphate-4-phosphatase type II B']	decreased bone volume	Mus musculus
Inpp4b	['INPP4B', 'inositol polyphosphate-4-phosphatase type II B']	increased bone trabecula number	Mus musculus
Inpp4b	['INPP4B', 'inositol polyphosphate-4-phosphatase type II B']	abnormal bone mineralization	Mus musculus
Inpp4b	['INPP4B', 'inositol polyphosphate-4-phosphatase type II B']	increased osteoclast cell number	Mus musculus
Inpp4b	['INPP4B', 'inositol polyphosphate-4-phosphatase type II B']	abnormal osteoclast morphology	Mus musculus
Inpp4b	['INPP4B', 'inositol polyphosphate-4-phosphatase type II B']	increased osteoblast cell number	Mus musculus
Inpp4b	['INPP4B', 'inositol polyphosphate-4-phosphatase type II B']	abnormal osteoclast differentiation	Mus musculus
Inpp4b	['INPP4B', 'inositol polyphosphate-4-phosphatase type II B']	increased trabecular bone thickness	Mus musculus
Inpp4b	['INPP4B', 'inositol polyphosphate-4-phosphatase type II B']	Abnormal trabecular bone morphology	Mus musculus
Inpp4b	['INPP4B', 'inositol polyphosphate-4-phosphatase type II B']	Osteoporosis	Mus musculus
Inpp4b	['INPP4B', 'inositol polyphosphate-4-phosphatase type II B']	Osteopenia	Mus musculus
Inpp4b	['INPP4B', 'inositol polyphosphate-4-phosphatase type II B']	Short femur	Mus musculus
Inpp4b	['INPP4B', 'inositol polyphosphate-4-phosphatase type II B']	Short tibia	Mus musculus
Inpp4b	['INPP4B', 'inositol polyphosphate-4-phosphatase type II B']	Short humerus	Mus musculus
Inpp4b	['INPP4B', 'inositol polyphosphate-4-phosphatase type II B']	Hypoplasia of the ulna	Mus musculus
Inpp4b	['INPP4B', 'inositol polyphosphate-4-phosphatase type II B']	Osteolysis	Mus musculus
Dclk2	['DCLK2', 'doublecortin-like kinase 2']	abnormal dentate gyrus morphology	Mus musculus
Dclk2	['DCLK2', 'doublecortin-like kinase 2']	convulsive seizures	Mus musculus
Dclk2	['DCLK2', 'doublecortin-like kinase 2']	postnatal lethality, incomplete penetrance	Mus musculus
Dclk2	['DCLK2', 'doublecortin-like kinase 2']	premature death	Mus musculus
Dclk2	['DCLK2', 'doublecortin-like kinase 2']	abnormal hippocampal mossy fiber morphology	Mus musculus
Dclk2	['DCLK2', 'doublecortin-like kinase 2']	abnormal inhibitory postsynaptic currents	Mus musculus
Dclk2	['DCLK2', 'doublecortin-like kinase 2']	abnormal brain interneuron morphology	Mus musculus
Dclk2	['DCLK2', 'doublecortin-like kinase 2']	abnormal hippocampus CA3 region morphology	Mus musculus
Dclk2	['DCLK2', 'doublecortin-like kinase 2']	abnormal hippocampus CA1 region morphology	Mus musculus
Dclk2	['DCLK2', 'doublecortin-like kinase 2']	abnormal hippocampus region morphology	Mus musculus
Dclk2	['DCLK2', 'doublecortin-like kinase 2']	abnormal hippocampus granule cell layer	Mus musculus
Dclk2	['DCLK2', 'doublecortin-like kinase 2']	abnormal hippocampus pyramidal cell morphology	Mus musculus
Dclk2	['DCLK2', 'doublecortin-like kinase 2']	Generalized tonic-clonic seizures	Mus musculus
Plrg1	['PLRG1', 'pleiotropic regulator 1']	protein localization to nucleus phenotype	Mus musculus
plrg1	['PLRG1', 'pleiotropic regulator 1']	abnormal(ly) quality yolk	Danio rerio
plrg1	['PLRG1', 'pleiotropic regulator 1']	abnormal(ly) quality nervous system	Danio rerio
plrg1	['PLRG1', 'pleiotropic regulator 1']	abnormal(ly) shape whole organism	Danio rerio
plrg1	['PLRG1', 'pleiotropic regulator 1']	abnormal(ly) decreased length trunk	Danio rerio
plrg1	['PLRG1', 'pleiotropic regulator 1']	abnormal(ly) viability whole organism	Danio rerio
plrg1	['PLRG1', 'pleiotropic regulator 1']	abnormal(ly) necrotic central nervous system	Danio rerio
plrg1	['PLRG1', 'pleiotropic regulator 1']	abnormal(ly) necrotic whole organism	Danio rerio
plrg1	['PLRG1', 'pleiotropic regulator 1']	abnormal(ly) flat head	Danio rerio
plrg1	['PLRG1', 'pleiotropic regulator 1']	abnormal(ly) circular yolk	Danio rerio
plrg1	['PLRG1', 'pleiotropic regulator 1']	abnormal(ly) decreased thickness extension	Danio rerio
plrg1	['PLRG1', 'pleiotropic regulator 1']	abnormal(ly) truncated post-vent region	Danio rerio
plrg1	['PLRG1', 'pleiotropic regulator 1']	abnormal(ly) grey yolk	Danio rerio
plrg1	['PLRG1', 'pleiotropic regulator 1']	abnormal(ly) decreased thickness trunk	Danio rerio
Plrg1	['PLRG1', 'pleiotropic regulator 1']	thin ventricular wall	Mus musculus
Plrg1	['PLRG1', 'pleiotropic regulator 1']	premature death	Mus musculus
Plrg1	['PLRG1', 'pleiotropic regulator 1']	dilated heart left ventricle	Mus musculus
Plrg1	['PLRG1', 'pleiotropic regulator 1']	increased cardiomyocyte apoptosis	Mus musculus
Plrg1	['PLRG1', 'pleiotropic regulator 1']	dilated heart	Mus musculus
Plrg1	['PLRG1', 'pleiotropic regulator 1']	abnormal heart ventricle morphology	Mus musculus
Plrg1	['PLRG1', 'pleiotropic regulator 1']	decreased ventricle muscle contractility	Mus musculus
Plrg1	['PLRG1', 'pleiotropic regulator 1']	Right ventricular dilatation	Mus musculus
Plrg1	['PLRG1', 'pleiotropic regulator 1']	Dilated cardiomyopathy	Mus musculus
Plrg1	['PLRG1', 'pleiotropic regulator 1']	decreased cell proliferation	Mus musculus
Plrg1	['PLRG1', 'pleiotropic regulator 1']	Abnormality of the cell cycle	Mus musculus
Plrg1	['PLRG1', 'pleiotropic regulator 1']	postnatal lethality, complete penetrance	Mus musculus
Plrg1	['PLRG1', 'pleiotropic regulator 1']	increased neuron apoptosis	Mus musculus
Plrg1	['PLRG1', 'pleiotropic regulator 1']	embryonic lethality before implantation, complete penetrance	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	abnormal vascular development	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	wavy neural tube	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	abnormal vasculogenesis	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	decreased embryo size	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	embryonic growth arrest	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	pale yolk sac	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	incomplete embryo turning	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	absent vitelline blood vessels	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	embryonic lethality during organogenesis, complete penetrance	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	abnormal visceral yolk sac blood island morphology	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	decreased erythrocyte cell number	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	delayed embryo turning	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	enlarged allantois	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	Spina bifida	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	Small placenta	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	Anencephaly	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	absent erythrocytes	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	abnormal erythropoiesis	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	abnormal heart development	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	decreased cell proliferation	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	abnormal liver development	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	abnormal brain development	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	abnormal hematopoietic stem cell physiology	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	abnormal cell migration	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	abnormal digestive system development	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	abnormal embryonic hematopoiesis	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	abnormal cell adhesion	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	decreased hematopoietic stem cell number	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	decreased common myeloid progenitor cell number	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	Dermal translucency	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	Erythroid hypoplasia	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	lethality throughout fetal growth and development, incomplete penetrance	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	pale liver	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	abnormal definitive hematopoiesis	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	decreased birth body size	Mus musculus
Rapgef2	['RAPGEF2', 'Rap guanine nucleotide exchange factor 2']	Pallor	Mus musculus
Gpm6a	['GPM6A', 'glycoprotein M6A']	increased percent body fat/body weight	Mus musculus
Gpm6a	['GPM6A', 'glycoprotein M6A']	increased percent body fat/body weight	Mus musculus
Gpm6a	['GPM6A', 'glycoprotein M6A']	abnormal axon extension	Mus musculus
Trip13	['TRIP13', 'thyroid hormone receptor interactor 13']	reciprocal meiotic recombination phenotype	Mus musculus
Trip13	['TRIP13', 'thyroid hormone receptor interactor 13']	spermatid development phenotype	Mus musculus
