gene	disease
NCBIGene:10891	['type 2 diabetes mellitus', 'Diabetes Mellitus, Noninsulin-Dependent']
NCBIGene:10891	myocardial infarction
NCBIGene:10891	peripheral nervous system disease
NCBIGene:10891	Bowen's Disease
NCBIGene:10891	Ceroid lipofuscinosis, neuronal 1, infantile
NCBIGene:9353	temporal lobe epilepsy
NCBIGene:9353	['hepatocellular carcinoma', 'Hepatocellular Carcinoma']
NCBIGene:9353	SCLC1
NCBIGene:54502	Arthritis, Juvenile
NCBIGene:22998	Substance-Related Disorders
NCBIGene:23244	IgA glomerulonephritis
NCBIGene:2560	autistic disorder
NCBIGene:2560	hepatic encephalopathy
NCBIGene:2557	Ataxia
NCBIGene:2557	autistic disorder
NCBIGene:2555	['alcohol dependence', 'Alcohol Dependence']
NCBIGene:2555	heroin dependence
NCBIGene:2555	Anxiety
NCBIGene:2555	autistic disorder
NCBIGene:2555	Cocaine-Related Disorders
NCBIGene:5471	Liver Neoplasms, Experimental
NCBIGene:5471	Myocardial Ischemia
NCBIGene:23284	attention deficit hyperactivity disorder
NCBIGene:22902	Arsenic Poisoning
NCBIGene:22902	Skin Diseases
NCBIGene:213	Hyperthyroxinemia, Familial Dysalbuminemic
NCBIGene:213	['Congenital analbuminemia', 'Analbuminemia']
NCBIGene:213	Ehlers-Danlos syndrome, arthrochalasic type
NCBIGene:213	Ehlers-Danlos syndrome type 7B
NCBIGene:213	['Ehlers-Danlos syndrome type 7A', 'Ehlers-Danlos Syndrome, Type Vii, Autosomal Dominant']
NCBIGene:213	nephrosis
NCBIGene:213	membranoproliferative glomerulonephritis
NCBIGene:213	diabetic angiopathy
NCBIGene:213	Hypotension
NCBIGene:213	lung adenocarcinoma
NCBIGene:213	angioedema
NCBIGene:213	brain disease
NCBIGene:213	congestive heart failure
NCBIGene:213	epilepsy syndrome
NCBIGene:213	hemolytic-uremic syndrome
NCBIGene:213	Brain Injuries
NCBIGene:213	proteinuria
NCBIGene:213	Hypoalbuminemia
NCBIGene:213	nephrotic syndrome
NCBIGene:213	stomach cancer
NCBIGene:213	Human immunodeficiency virus infectious disease
NCBIGene:213	Drug-Induced Liver Injury
NCBIGene:213	Keloid
NCBIGene:213	Arthritis, Experimental
NCBIGene:213	Rhinitis, Allergic, Perennial
NCBIGene:213	Pancreatic Diseases
NCBIGene:213	Liver Cirrhosis, Experimental
NCBIGene:213	anuria
NCBIGene:213	interstitial nephritis
NCBIGene:213	Hepatitis
NCBIGene:213	uveitis
NCBIGene:213	nephritis
NCBIGene:213	pancreatitis
NCBIGene:213	Hypersensitivity, Delayed
NCBIGene:213	Myocardial Reperfusion Injury
NCBIGene:213	Depressive Disorder
NCBIGene:213	HIV Seropositivity
NCBIGene:213	Serum Sickness
NCBIGene:213	thrombocytopenia
NCBIGene:213	membranous glomerulonephritis
NCBIGene:213	chronic kidney failure
NCBIGene:213	hypersensitivity reaction type I disease
NCBIGene:213	['Recurrent infections - inflammatory syndrome due to zinc metabolism disorder', 'Zinc, Elevated Plasma']
NCBIGene:213	Urticaria
NCBIGene:213	kidney disease
NCBIGene:213	echinococcosis
NCBIGene:213	glomerulonephritis
NCBIGene:213	liver cirrhosis
NCBIGene:213	heart disease
NCBIGene:213	aseptic meningitis
NCBIGene:213	cardiovascular system disease
NCBIGene:5311	Polycystic Kidney Disease 2
NCBIGene:5311	retinal disease
NCBIGene:5311	Vascular Diseases
NCBIGene:5311	neurodegenerative disease
NCBIGene:1977	Autism, Susceptibility To, 19
NCBIGene:1977	mantle cell lymphoma
NCBIGene:5530	keratoconus
NCBIGene:5530	peripheral nervous system disease
NCBIGene:5530	pancreatitis
NCBIGene:5530	['Wilson disease', 'Wilson Disease']
NCBIGene:5530	Hypertrophy, Left Ventricular
NCBIGene:5530	Brain Injuries
NCBIGene:5530	testicular disease
NCBIGene:5530	prostate cancer
NCBIGene:4790	Immunodeficiency, Common Variable, 12
NCBIGene:4790	common variable immunodeficiency
NCBIGene:4790	Ovarian Cysts
NCBIGene:4790	adenocarcinoma
NCBIGene:4790	Colonic Neoplasms
NCBIGene:4790	['type 2 diabetes mellitus', 'Diabetes Mellitus, Noninsulin-Dependent']
NCBIGene:4790	chronic kidney failure
NCBIGene:4790	primary biliary cirrhosis
NCBIGene:4790	primary hyperoxaluria
NCBIGene:51176	sebaceous gland neoplasm
NCBIGene:51176	Colonic Neoplasms
NCBIGene:51176	chronic lymphocytic leukemia
NCBIGene:79071	IgA glomerulonephritis
NCBIGene:79071	peripheral nervous system disease
NCBIGene:890	intellectual disability
NCBIGene:890	peripheral nervous system disease
NCBIGene:1998	Arthritis, Juvenile
NCBIGene:64399	['hepatocellular carcinoma', 'Hepatocellular Carcinoma']
NCBIGene:3600	autistic disorder
NCBIGene:3600	endometriosis
NCBIGene:3600	celiac disease
NCBIGene:3600	Respiratory Hypersensitivity
NCBIGene:8467	extraosseous Ewing's sarcoma
NCBIGene:6059	IgA glomerulonephritis
NCBIGene:6059	Colorectal Neoplasms
NCBIGene:55294	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
NCBIGene:55294	salivary gland adenoid cystic carcinoma
NCBIGene:55294	esophagus squamous cell carcinoma
NCBIGene:55294	breast cancer
NCBIGene:55294	Endometrial Neoplasms
NCBIGene:55294	malignant glioma
NCBIGene:2891	Substance Withdrawal Syndrome
NCBIGene:2891	Cocaine-Related Disorders
NCBIGene:2891	status epilepticus
NCBIGene:2891	Hyperkinesis
NCBIGene:56034	benign mesothelioma
NCBIGene:1363	endocrine system disease
NCBIGene:1363	['obesity', 'Obesity']
NCBIGene:1182	stomach cancer
NCBIGene:3148	['hepatocellular carcinoma', 'Hepatocellular Carcinoma']
NCBIGene:3148	lung adenocarcinoma
NCBIGene:3148	['obesity', 'Obesity']
NCBIGene:6550	Diabetes Mellitus, Experimental
NCBIGene:6550	intestinal obstruction
NCBIGene:6550	CFM1
NCBIGene:108	asthma
NCBIGene:7204	liver cancer
NCBIGene:7204	['acute myeloid leukemia', 'Leukemia, Acute Myeloid']
NCBIGene:7204	Precancerous Conditions
NCBIGene:1501	['Cri-Du-Chat syndrome', 'Cri-Du-Chat Syndrome']
NCBIGene:1501	Cell Transformation, Neoplastic
NCBIGene:1501	glioblastoma multiforme
NCBIGene:51663	Autosomal recessive spastic paraplegia type 71
NCBIGene:29102	male infertility
NCBIGene:6502	cancer
NCBIGene:6502	ovarian cancer
NCBIGene:6502	['medulloblastoma', 'Medulloblastoma']
NCBIGene:6502	['hepatocellular carcinoma', 'Hepatocellular Carcinoma']
NCBIGene:6502	diffuse large B-cell lymphoma
NCBIGene:7690	IgA glomerulonephritis
NCBIGene:10468	breast cancer
NCBIGene:10468	Liver Failure, Acute
NCBIGene:10468	['hepatocellular carcinoma', 'Hepatocellular Carcinoma']
NCBIGene:10468	stomach cancer
NCBIGene:10468	liver cancer
NCBIGene:10468	PCOS1
NCBIGene:10468	Abortion, Spontaneous
NCBIGene:10769	Carcinoma
NCBIGene:10769	Mammary Neoplasms, Animal
NCBIGene:10769	Arthritis, Juvenile
NCBIGene:10769	Mammary Neoplasms, Experimental
NCBIGene:3572	middle cerebral artery infarction
NCBIGene:3572	pneumonia
NCBIGene:3572	ovarian cancer
NCBIGene:3572	Mammary Neoplasms, Experimental
NCBIGene:3572	rheumatoid arthritis
NCBIGene:3572	Carcinoma
NCBIGene:3572	Mammary Neoplasms, Animal
NCBIGene:3572	Myocardial Ischemia
NCBIGene:3572	Reperfusion Injury
NCBIGene:3572	hypersensitivity reaction type I disease
NCBIGene:3572	Colorectal Neoplasms
NCBIGene:55914	salivary gland adenoid cystic carcinoma
NCBIGene:10087	Mental Retardation, Autosomal Dominant 34
NCBIGene:10087	non-small cell lung carcinoma
NCBIGene:1393	Cocaine-Related Disorders
NCBIGene:23635	prostate cancer
NCBIGene:9456	Dyskinesia, Drug-Induced
NCBIGene:9456	Hallucinations
NCBIGene:5924	Orofacial clefting syndrome
NCBIGene:5924	Mammary Neoplasms, Animal
NCBIGene:5924	Carcinoma
NCBIGene:5924	Mammary Neoplasms, Experimental
NCBIGene:57561	breast cancer
NCBIGene:4012	['Birdshot chorioretinopathy', 'Birdshot Chorioretinopathy']
NCBIGene:4012	Memory Disorders
NCBIGene:4012	Mammary Neoplasms, Experimental
NCBIGene:1657	malignant glioma
NCBIGene:4015	pulmonary hypertension
NCBIGene:4015	Prenatal Injuries
NCBIGene:4015	aortic valve insufficiency
NCBIGene:4015	['Wilson disease', 'Wilson Disease']
NCBIGene:4015	primary biliary cirrhosis
NCBIGene:4015	Cutis Laxa, Autosomal Recessive, Type 1A
NCBIGene:4015	hepatitis B
NCBIGene:4015	hepatitis C
NCBIGene:4015	['osteosarcoma', 'Osteogenic Sarcoma']
NCBIGene:4015	oral submucous fibrosis
NCBIGene:6643	IgA glomerulonephritis
NCBIGene:6558	glucose intolerance
NCBIGene:6558	Mammary Neoplasms, Experimental
NCBIGene:6558	Carcinoma
NCBIGene:6558	hypertension
NCBIGene:6558	epilepsy syndrome
NCBIGene:6558	cardiovascular system disease
NCBIGene:6558	temporal lobe epilepsy
NCBIGene:6558	Mammary Neoplasms, Animal
NCBIGene:6558	Movement Disorders
NCBIGene:6558	prostate cancer
NCBIGene:8572	Bone Mineral Density Quantitative Trait Locus 15
NCBIGene:8572	['osteoporosis', 'Osteoporosis']
NCBIGene:8572	polycystic ovary syndrome
NCBIGene:3308	IgA glomerulonephritis
NCBIGene:3308	facioscapulohumeral muscular dystrophy
NCBIGene:11127	asthma
NCBIGene:11127	Bone Diseases, Developmental
NCBIGene:11127	['polydactyly', 'Polydactyly']
NCBIGene:11127	Craniofacial Abnormalities
NCBIGene:27125	Chops Syndrome
NCBIGene:27125	['obesity', 'Obesity']
NCBIGene:27125	congenital heart disease
NCBIGene:27125	lung disease
NCBIGene:27125	Bone Diseases, Developmental
NCBIGene:27125	Cognition Disorders
NCBIGene:5515	Myocardial Ischemia
NCBIGene:5515	heart disease
NCBIGene:5515	asthma
NCBIGene:7416	Psychomotor Disorders
NCBIGene:7416	mitochondrial myopathy
NCBIGene:7416	Diabetic Nephropathies
NCBIGene:7416	epilepsy syndrome
NCBIGene:3313	Myocardial Ischemia
NCBIGene:3313	uveitis
NCBIGene:3313	Parkinson's disease
NCBIGene:3313	renal cell carcinoma
NCBIGene:3313	perinatal necrotizing enterocolitis
NCBIGene:3313	Human immunodeficiency virus infectious disease
NCBIGene:3313	['hepatocellular carcinoma', 'Hepatocellular Carcinoma']
NCBIGene:3313	Endotoxemia
NCBIGene:1495	['myelodysplastic syndrome', 'Myelodysplastic Syndrome']
NCBIGene:1495	['acute myeloid leukemia', 'Leukemia, Acute Myeloid']
NCBIGene:8841	heart disease
NCBIGene:64411	Human immunodeficiency virus infectious disease
NCBIGene:81555	IgA glomerulonephritis
NCBIGene:9832	melanoma
NCBIGene:815	Cocaine-Related Disorders
NCBIGene:815	['Wilson disease', 'Wilson Disease']
NCBIGene:815	Hyperalgesia
NCBIGene:1452	adult T-cell leukemia
NCBIGene:1452	Craniofacial Abnormalities
NCBIGene:10318	systemic scleroderma
NCBIGene:10318	Sjogren's Syndrome
NCBIGene:10318	systemic lupus erythematosus
NCBIGene:10318	breast cancer
NCBIGene:10318	psoriasis
NCBIGene:51164	['cystic fibrosis', 'Cystic Fibrosis']
NCBIGene:51164	Pseudomonas Infections
NCBIGene:10146	IgA glomerulonephritis
NCBIGene:2890	morphine dependence
NCBIGene:2890	autistic disorder
NCBIGene:2890	Hyperkinesis
NCBIGene:2890	Hypotension
NCBIGene:2890	learning disability
NCBIGene:2890	Substance Withdrawal Syndrome
NCBIGene:2890	hypoactive sexual desire disorder
NCBIGene:1879	Cell Transformation, Neoplastic
NCBIGene:1879	FL1
NCBIGene:57451	Substance-Related Disorders
NCBIGene:2561	Schizophrenia
NCBIGene:1794	Immunodeficiency 40
NCBIGene:1794	['esophagus adenocarcinoma', 'Barrett Esophagus']
NCBIGene:1794	IgA glomerulonephritis
NCBIGene:6586	congenital diaphragmatic hernia
NCBIGene:23197	prostate cancer
NCBIGene:3182	Mammary Neoplasms, Experimental
NCBIGene:3187	Precursor T-cell acute lymphoblastic leukemia
NCBIGene:3187	prostate cancer
NCBIGene:10399	tongue squamous cell carcinoma
NCBIGene:10399	Mouth Neoplasms
NCBIGene:9425	SCLC1
NCBIGene:3720	Child Development Disorders, Pervasive
NCBIGene:9750	Autosomal recessive non-syndromic sensorineural deafness type DFNB
NCBIGene:9750	Deafness, Autosomal Recessive 104
NCBIGene:2550	autistic disorder
NCBIGene:2550	alcohol abuse
NCBIGene:2550	Cocaine-Related Disorders
NCBIGene:2550	Hyperkinesis
NCBIGene:1460	Skin Neoplasms
NCBIGene:1460	adult T-cell leukemia
NCBIGene:1460	tongue squamous cell carcinoma
NCBIGene:6257	breast cancer
NCBIGene:6257	stomach cancer
NCBIGene:2914	['osteosarcoma', 'Osteogenic Sarcoma']
NCBIGene:2914	temporal lobe epilepsy
NCBIGene:5467	Cardiomegaly
NCBIGene:5467	Fatty Liver
NCBIGene:5467	peripheral nervous system disease
NCBIGene:5467	cardiomyopathy
NCBIGene:1432	lung benign neoplasm
NCBIGene:1432	cardiomyopathy
NCBIGene:1432	cholestasis
NCBIGene:1432	liver cancer
NCBIGene:1432	Myocardial Ischemia
NCBIGene:60685	['type 2 diabetes mellitus', 'Diabetes Mellitus, Noninsulin-Dependent']
NCBIGene:60685	Arthritis, Juvenile
NCBIGene:9025	autistic disorder
NCBIGene:896	Multiple myeloma
NCBIGene:7942	['Translocation renal cell carcinoma', 'Renal Cell Carcinoma, Xp11-Associated']
NCBIGene:55809	peripheral nervous system disease
NCBIGene:55809	breast cancer
NCBIGene:5528	Mental Retardation, Autosomal Dominant 35
NCBIGene:6722	Human immunodeficiency virus infectious disease
NCBIGene:2030	Alcohol Withdrawal Seizures
NCBIGene:2030	pancreatic cancer
NCBIGene:3326	prostate cancer
NCBIGene:3326	Human immunodeficiency virus infectious disease
NCBIGene:56479	myopia
NCBIGene:1303	Ullrich congenital muscular dystrophy
NCBIGene:1303	Ullrich Congenital Muscular Dystrophy 2
NCBIGene:1303	Bethlem Myopathy 2
NCBIGene:1303	['Bethlem myopathy', 'Bethlem Myopathy 1']
NCBIGene:55023	Sjogren's Syndrome
NCBIGene:1915	Carcinoma
NCBIGene:1915	Mammary Neoplasms, Experimental
NCBIGene:1915	Mammary Neoplasms, Animal
NCBIGene:1915	stomach cancer
NCBIGene:9096	PUJO
NCBIGene:9096	["Huntington's disease", 'Huntington Disease']
NCBIGene:10492	IgA glomerulonephritis
NCBIGene:23036	Colorectal Neoplasms
NCBIGene:6885	IgA glomerulonephritis
NCBIGene:6885	prostate cancer
NCBIGene:2045	SCLC1
NCBIGene:6492	['obesity', 'Obesity']
NCBIGene:6492	Obesity due to SIM1 deficiency
NCBIGene:6492	Prader-Willi-like syndrome due to point mutation
NCBIGene:6492	6q16 deletion syndrome
NCBIGene:6492	breast cancer
NCBIGene:6492	hyperglycemia
NCBIGene:6492	peripheral nervous system disease
NCBIGene:892	IgA glomerulonephritis
NCBIGene:9474	Drug-Induced Liver Injury
NCBIGene:9474	Hepatomegaly
NCBIGene:2898	Mental Retardation, Autosomal Recessive 6
NCBIGene:2898	autosomal recessive non-syndromic intellectual disability
NCBIGene:2898	Schizophrenia
NCBIGene:2898	Substance-Related Disorders
NCBIGene:2898	bipolar disorder
NCBIGene:2898	autistic disorder
NCBIGene:2898	hypoactive sexual desire disorder
NCBIGene:639	systemic lupus erythematosus
NCBIGene:639	ulcerative colitis
NCBIGene:639	Sjogren's Syndrome
NCBIGene:639	rheumatoid arthritis
NCBIGene:5550	amnestic disorder
NCBIGene:5550	retrograde amnesia
NCBIGene:5550	stomach cancer
NCBIGene:5980	MBS1
NCBIGene:2534	stomach cancer
NCBIGene:2534	Catalepsy
NCBIGene:2534	Lymphoma, T-Cell, Peripheral
NCBIGene:2534	adult T-cell leukemia
NCBIGene:3066	chronic obstructive pulmonary disease
NCBIGene:3066	melanoma
NCBIGene:3066	tongue squamous cell carcinoma
NCBIGene:3066	Cardiomegaly
NCBIGene:3066	endometriosis
NCBIGene:3066	myeloid leukemia
NCBIGene:5796	melanoma
NCBIGene:5796	prostate cancer
NCBIGene:84456	['medulloblastoma', 'Medulloblastoma']
NCBIGene:6446	uremia
NCBIGene:6446	Diabetic Neuropathies
NCBIGene:6446	Mammary Neoplasms, Experimental
NCBIGene:6446	Mammary Neoplasms, Animal
NCBIGene:6446	Carcinoma
NCBIGene:6446	['acute myeloid leukemia', 'Leukemia, Acute Myeloid']
NCBIGene:4217	Drug-Induced Liver Injury
NCBIGene:4217	cardiomyopathy
NCBIGene:4217	diabetes mellitus
NCBIGene:4217	Parkinson's disease
NCBIGene:4217	melanoma
NCBIGene:4217	Diabetes Mellitus, Experimental
NCBIGene:7128	Lymphoma, T-Cell, Cutaneous
NCBIGene:7128	psoriasis
NCBIGene:7128	FL1
NCBIGene:7128	Cell Transformation, Neoplastic
NCBIGene:7128	systemic lupus erythematosus
NCBIGene:7128	multiple sclerosis
NCBIGene:7128	rheumatoid arthritis
NCBIGene:7128	Sjogren's Syndrome
NCBIGene:3097	Myocardial Ischemia
NCBIGene:134957	tuberculosis
NCBIGene:134957	Bronchopulmonary Dysplasia
NCBIGene:9113	astrocytoma
NCBIGene:9113	Neoplasms, Glandular and Epithelial
NCBIGene:10090	endometriosis
NCBIGene:117289	psoriasis
NCBIGene:117289	Crohn Disease
NCBIGene:117289	rheumatoid arthritis
NCBIGene:117289	IDDM21
NCBIGene:6950	prostate cancer
NCBIGene:7430	Osteosarcoma
NCBIGene:7430	Mammary Neoplasms, Experimental
NCBIGene:7430	Mammary Neoplasms, Animal
NCBIGene:7430	prostate cancer
NCBIGene:7430	Osteoarthritis
NCBIGene:7430	Carcinoma
NCBIGene:4216	Endometrial Neoplasms
NCBIGene:28514	Microform holoprosencephaly
NCBIGene:28514	Septopreoptic holoprosencephaly
NCBIGene:28514	Alobar holoprosencephaly
NCBIGene:28514	Midline interhemispheric variant of holoprosencephaly
NCBIGene:28514	Lobar holoprosencephaly
NCBIGene:28514	Semilobar holoprosencephaly
NCBIGene:28514	breast cancer
NCBIGene:28514	brain cancer
NCBIGene:51608	peripheral nervous system disease
NCBIGene:2768	ulcerative colitis
NCBIGene:2768	Myocardial Ischemia
NCBIGene:8662	Human immunodeficiency virus infectious disease
NCBIGene:2115	['Ewing sarcoma', 'Ewing Sarcoma']
NCBIGene:2115	Prostate cancer
NCBIGene:2115	Ewing's sarcoma
NCBIGene:2115	prostate cancer
NCBIGene:6671	bipolar disorder
NCBIGene:6671	Schizophrenia
NCBIGene:9734	['Peters anomaly', 'Peters Anomaly']
NCBIGene:9734	Stroke
NCBIGene:196	Drug-Induced Liver Injury
NCBIGene:196	Ureteral Neoplasms
NCBIGene:196	prostate cancer
NCBIGene:196	['nicotine dependence', 'Tobacco Addiction, Susceptibility to']
NCBIGene:196	liver cancer
NCBIGene:196	chronobiology disease
NCBIGene:196	silicosis
NCBIGene:196	hypertension
NCBIGene:196	bladder calculus
NCBIGene:196	stomach cancer
NCBIGene:196	pneumonia
NCBIGene:196	congenital nystagmus
NCBIGene:196	Pancreatic cancer, adult
NCBIGene:196	liver disease
NCBIGene:196	breast cancer
NCBIGene:196	contact dermatitis
NCBIGene:196	lung adenocarcinoma
NCBIGene:196	male infertility
NCBIGene:196	Atherosclerosis
NCBIGene:196	Tachycardia
NCBIGene:196	Bone Resorption
NCBIGene:196	Arthritis, Experimental
NCBIGene:196	Vascular Diseases
NCBIGene:196	Neoplasms, Experimental
NCBIGene:196	peripheral nervous system disease
NCBIGene:196	rheumatoid arthritis
NCBIGene:196	congenital heart disease
NCBIGene:196	Cardiomegaly
NCBIGene:196	Hypertrophy, Left Ventricular
NCBIGene:196	splenic disease
NCBIGene:196	cancer
NCBIGene:196	peanut allergy
NCBIGene:3696	endometriosis
NCBIGene:9771	Amphetamine-Related Disorders
NCBIGene:10643	peripheral nervous system disease
NCBIGene:3200	Lymphatic Abnormalities
NCBIGene:3200	Craniofacial Abnormalities
NCBIGene:3200	congenital heart disease
NCBIGene:221895	endometrial stromal sarcoma
NCBIGene:221895	systemic lupus erythematosus
NCBIGene:221895	['type 2 diabetes mellitus', 'Diabetes Mellitus, Noninsulin-Dependent']
NCBIGene:221895	prostate cancer
NCBIGene:221895	Endometrial Neoplasms
NCBIGene:64224	Arthritis, Juvenile
NCBIGene:5683	heart disease
NCBIGene:5683	['osteoporosis', 'Osteoporosis']
NCBIGene:9844	['esophagus adenocarcinoma', 'Barrett Esophagus']
NCBIGene:9844	Diabetic Nephropathies
NCBIGene:9844	['Stevens-Johnson syndrome', 'Severe Cutaneous Adverse Reaction, Susceptibility to']
NCBIGene:4967	['Oxoglutaricaciduria', 'Alpha-Ketoglutarate Dehydrogenase Deficiency']
NCBIGene:23242	peripheral nervous system disease
NCBIGene:10320	Pancytopenia due to IKZF1 mutations
NCBIGene:10320	['Stevens-Johnson syndrome', 'Severe Cutaneous Adverse Reaction, Susceptibility to']
NCBIGene:10320	['Precursor B-cell acute lymphoblastic leukemia', 'Leukemia, Acute Lymphoblastic, Susceptibility To, 3']
NCBIGene:10320	Precursor B-Cell Lymphoblastic Leukemia-Lymphoma
NCBIGene:10320	ulcerative colitis
NCBIGene:10320	lymphoma
NCBIGene:10320	systemic lupus erythematosus
NCBIGene:10320	Precursor Cell Lymphoblastic Leukemia-Lymphoma
NCBIGene:6804	['cystic fibrosis', 'Cystic Fibrosis']
NCBIGene:6804	autistic disorder
NCBIGene:9031	Williams-Beuren syndrome
NCBIGene:3984	Williams-Beuren syndrome
NCBIGene:3092	Prostate Cancer
NCBIGene:9569	Williams-Beuren syndrome
NCBIGene:9569	Craniofacial Abnormalities
NCBIGene:9569	Williams-Beuren Syndrome
NCBIGene:7461	Williams-Beuren syndrome
NCBIGene:2770	Substance Withdrawal Syndrome
NCBIGene:2770	amnestic disorder
NCBIGene:2913	melanoma
NCBIGene:2913	Schizophrenia
NCBIGene:2913	temporal lobe epilepsy
NCBIGene:3082	Autosomal recessive non-syndromic sensorineural deafness type DFNB
NCBIGene:3082	Deafness, Autosomal Recessive 39
NCBIGene:3082	Deafness and Hereditary Hearing Loss Overview
NCBIGene:3082	Copper-Overload Cirrhosis
NCBIGene:3082	Liver Neoplasms, Experimental
NCBIGene:3082	Thrombosis
NCBIGene:3082	['hepatocellular carcinoma', 'Hepatocellular Carcinoma']
NCBIGene:3082	hepatitis
NCBIGene:3082	neuroblastoma
NCBIGene:3082	Neoplasm Invasiveness
NCBIGene:3082	Reperfusion Injury
NCBIGene:3082	['acute myeloid leukemia', 'Leukemia, Acute Myeloid']
NCBIGene:3082	Barrett's esophagus
NCBIGene:3082	pulmonary fibrosis
NCBIGene:781	Brugada syndrome
NCBIGene:781	Familial short QT syndrome
NCBIGene:781	Pain
NCBIGene:781	Neuralgia
NCBIGene:781	Hyperalgesia
NCBIGene:781	hypertension
NCBIGene:781	Colonic Neoplasms
NCBIGene:27445	CLAM
NCBIGene:22853	prostate cancer
NCBIGene:8295	Schizophrenia
NCBIGene:8295	melanoma
NCBIGene:2050	breast cancer
NCBIGene:43	breast cancer
NCBIGene:43	Movement Disorders
NCBIGene:43	learning disability
NCBIGene:43	Prenatal Injuries
NCBIGene:43	Alzheimer's disease
NCBIGene:43	Memory Disorders
NCBIGene:43	nervous system disease
NCBIGene:43	Liver Cirrhosis, Experimental
NCBIGene:43	muscular dystrophy
NCBIGene:43	visual epilepsy
NCBIGene:43	Amphetamine-Related Disorders
NCBIGene:43	prostate cancer
NCBIGene:43	amyloidosis
NCBIGene:43	renal cell carcinoma
NCBIGene:1523	Carcinogenesis
NCBIGene:10135	colitis
NCBIGene:10135	IgA glomerulonephritis
NCBIGene:10135	['obesity', 'Obesity']
NCBIGene:10135	Colorectal Neoplasms
NCBIGene:10135	allergic contact dermatitis
NCBIGene:55904	myeloid leukemia
NCBIGene:55904	leukemia
NCBIGene:5577	['obesity', 'Obesity']
NCBIGene:9732	autistic disorder
NCBIGene:830	IgA glomerulonephritis
NCBIGene:5803	Helicobacter Pylori Infection, Susceptibility to
NCBIGene:5803	pneumoconiosis
NCBIGene:93664	Substance-Related Disorders
NCBIGene:93664	autistic disorder
NCBIGene:27044	autistic disorder
NCBIGene:7328	autistic disorder
NCBIGene:7328	polycystic ovary syndrome
NCBIGene:23382	tuberculosis
NCBIGene:23382	prostate cancer
NCBIGene:4899	Bowen's Disease
NCBIGene:800	rheumatoid arthritis
NCBIGene:800	Arthritis, Juvenile
NCBIGene:23165	Paget's disease of bone
NCBIGene:8805	Thyroid Cancer, Nonmedullary, 1
NCBIGene:8805	Differentiated thyroid carcinoma
NCBIGene:8805	['hepatocellular carcinoma', 'Hepatocellular Carcinoma']
NCBIGene:57670	pilocytic astrocytoma
NCBIGene:57670	astrocytoma
NCBIGene:8454	['Stevens-Johnson syndrome', 'Severe Cutaneous Adverse Reaction, Susceptibility to']
NCBIGene:1020	Lissencephaly 7 With Cerebellar Hypoplasia
NCBIGene:1020	peripheral nervous system disease
NCBIGene:6522	primary biliary cirrhosis
NCBIGene:6009	non-small cell lung carcinoma
NCBIGene:58508	['Kleefstra syndrome', 'Kleefstra Syndrome']
NCBIGene:58508	Kleefstra Syndrome
NCBIGene:58508	stomach cancer
NCBIGene:58508	esophagus squamous cell carcinoma
NCBIGene:58508	salivary gland adenoid cystic carcinoma
NCBIGene:58508	cholangiocarcinoma
NCBIGene:58508	['acute myeloid leukemia', 'Leukemia, Acute Myeloid']
NCBIGene:58508	adenocarcinoma
NCBIGene:58508	Liver Diseases, Parasitic
NCBIGene:58508	transitional cell carcinoma
NCBIGene:58508	urinary bladder cancer
NCBIGene:58508	['hepatocellular carcinoma', 'Hepatocellular Carcinoma']
NCBIGene:22976	Alzheimer Disease
NCBIGene:9690	Arthritis, Juvenile
NCBIGene:9228	autistic disorder
NCBIGene:10395	Colorectal Cancer
NCBIGene:10395	cancer
NCBIGene:526	Zimmermann-Laband syndrome
NCBIGene:526	Zimmermann-Laband Syndrome 2
NCBIGene:526	ZLS
NCBIGene:526	Autosomal dominant deafness-onychodystrophy syndrome
NCBIGene:526	Osteoarthritis
NCBIGene:526	Zimmerman Laband syndrome
NCBIGene:526	IgA glomerulonephritis
NCBIGene:1808	Osteoarthritis
NCBIGene:1808	Alzheimer's disease
NCBIGene:1808	paranoid schizophrenia
NCBIGene:2185	status epilepticus
NCBIGene:2185	melanoma
NCBIGene:2185	Skin Neoplasms
NCBIGene:27257	peripheral nervous system disease
NCBIGene:54904	['acute myeloid leukemia', 'Leukemia, Acute Myeloid']
NCBIGene:84376	polycystic ovary syndrome
NCBIGene:114786	Substance-Related Disorders
NCBIGene:4067	Human immunodeficiency virus infectious disease
NCBIGene:253943	IgA glomerulonephritis
NCBIGene:5862	polycystic ovary syndrome
NCBIGene:63978	MGCT
NCBIGene:63978	Precursor Cell Lymphoblastic Leukemia-Lymphoma
NCBIGene:4603	salivary gland adenoid cystic carcinoma
NCBIGene:4603	polycystic ovary syndrome
NCBIGene:4603	malignant glioma
NCBIGene:10565	IgA glomerulonephritis
NCBIGene:10987	['Stevens-Johnson syndrome', 'Severe Cutaneous Adverse Reaction, Susceptibility to']
NCBIGene:10987	['hepatocellular carcinoma', 'Hepatocellular Carcinoma']
NCBIGene:23462	Neuroectodermal Tumors, Primitive
NCBIGene:23462	lung benign neoplasm
NCBIGene:23462	breast cancer
NCBIGene:23462	oligodendroglioma
NCBIGene:23462	glioblastoma multiforme
NCBIGene:23462	Child Development Disorders, Pervasive
NCBIGene:23462	astrocytoma
NCBIGene:23462	pancreatic ductal carcinoma
NCBIGene:79776	PTOS1
