Trait	Match	Match Label	Second Match	Second Label	Third Match	Third Label
SUDDEN INFANT DEATH SYNDROME	OMIM:272120	sudden infant death syndrome	DOID:9007	sudden infant death syndrome	OMIM:608800	Sudden infant death - dysgenesis of the testes
SQUAMOUS CELL CARCINOMA, HEAD AND NECK, SOMATIC	OMIM:275355	head and neck squamous cell carcinoma	DOID:5520	head and neck squamous cell carcinoma	DOID:1542	head and neck carcinoma
SPONDYLOPERIPHERAL DYSPLASIA	OMIM:271700	Spondyloperipheral dysplasia - short ulna	MESH:C535799	Spondyloperipheral dysplasia - short ulna	OMIM:609324	Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia
SPONDYLOEPIMETAPHYSEAL DYSPLASIA WITH JOINT LAXITY, TYPE 2	OMIM:603546	Spondyloepimetaphyseal Dysplasia With Joint Laxity Type 2	MESH:C535784	Spondyloepimetaphyseal Dysplasia With Joint Laxity Type 2	OMIM:271640	Spondyloepimetaphyseal Dysplasia With Joint Laxity, Type 1, With or Without Fractures
SPONDYLOCOSTAL DYSOSTOSIS 4	OMIM:613686	Spondylocostal Dysostosis 4, Autosomal Recessive	MESH:C565149	Spondylocostal Dysostosis 4, Autosomal Dominant	OMIM:122600	Spondylocostal Dysostosis 5
SPONDYLOCOSTAL DYSOSTOSIS 2, AUTOSOMAL RECESSIVE	OMIM:608681	Spondylocostal Dysostosis 2, Autosomal Recessive	OMIM:609813	Spondylocostal Dysostosis 3, Autosomal Recessive	OMIM:613686	Spondylocostal Dysostosis 4, Autosomal Recessive
SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 18	OMIM:616204	Spinocerebellar Ataxia, Autosomal Recessive 18	DOID:0080042	autosomal recessive spinocerebellar ataxia 18	OMIM:607317	Spinocerebellar Ataxia, Autosomal Recessive 4
SPINOCEREBELLAR ATAXIA 6	OMIM:608029	Spinocerebellar Ataxia, Autosomal Recessive 6	OMIM:183086	spinocerebellar ataxia type 6	DOID:0050956	spinocerebellar ataxia type 6
SPINOCEREBELLAR ATAXIA 5	OMIM:600224	spinocerebellar ataxia type 5	OMIM:300703	Spinocerebellar Ataxia, X-Linked 5	MESH:C537311	Spinocerebellar ataxia, autosomal recessive 5
SPINOCEREBELLAR ATAXIA 23	OMIM:610245	spinocerebellar ataxia type 23	DOID:0050973	spinocerebellar ataxia type 23	OMIM:183090	Spinocerebellar Ataxia 2
SPINAL MUSCULAR ATROPHY WITH PROGRESSIVE MYOCLONIC EPILEPSY	OMIM:159950	Hereditary myoclonus - progressive distal muscular atrophy	HP:0009067	Progressive spinal muscular atrophy	OMIM:614018	Progressive myoclonic epilepsy type 6
SPERMATOGENIC FAILURE, X-LINKED, 2	OMIM:309120	Spermatogenic Failure, X-Linked, 2	OMIM:305700	Spermatogenic Failure, X-Linked, 1	MESH:D054331	Spermatogenic Failure, X-Linked, 1
SPASTIC PARAPLEGIA 9A, AUTOSOMAL DOMINANT	OMIM:270685	Autosomal dominant spastic paraplegia type 17	OMIM:182600	Autosomal dominant spastic paraplegia type 3	OMIM:600363	Autosomal dominant spastic paraplegia type 6
SPASTIC PARAPLEGIA 8, AUTOSOMAL DOMINANT	OMIM:603563	Autosomal dominant spastic paraplegia type 8	MESH:C536867	Autosomal dominant spastic paraplegia type 8	OMIM:270685	Autosomal dominant spastic paraplegia type 17
Spastic Paraplegia 8	OMIM:603563	Autosomal dominant spastic paraplegia type 8	MESH:C536867	Autosomal dominant spastic paraplegia type 8	OMIM:270750	Spastic Paraplegia 23
SPASTIC PARAPLEGIA 50, AUTOSOMAL RECESSIVE	OMIM:612936	Spastic Paraplegia 50, Autosomal Recessive	MESH:C567858	Spastic Paraplegia 50, Autosomal Recessive	OMIM:604360	Autosomal recessive spastic paraplegia type 11
SPASTIC PARAPLEGIA 47, AUTOSOMAL RECESSIVE	OMIM:614066	Spastic Paraplegia 47, Autosomal Recessive	OMIM:604360	Autosomal recessive spastic paraplegia type 11	OMIM:612319	Autosomal recessive spastic paraplegia type 35
Spastic paraplegia 47, autosomal recessive	OMIM:614066	Spastic Paraplegia 47, Autosomal Recessive	OMIM:604360	Autosomal recessive spastic paraplegia type 11	OMIM:612319	Autosomal recessive spastic paraplegia type 35
SPASTIC PARAPLEGIA 28, AUTOSOMAL RECESSIVE	OMIM:609340	Autosomal recessive spastic paraplegia type 28	MESH:C563732	Autosomal recessive spastic paraplegia type 28	OMIM:604360	Autosomal recessive spastic paraplegia type 11
SPASTIC PARAPLEGIA 10 WITH OR WITHOUT PERIPHERAL NEUROPATHY	OMIM:604187	Autosomal dominant spastic paraplegia type 10	OMIM:182815	Spastic paraplegia - neuropathy - poikiloderma	OMIM:256840	Neuropathy, Hereditary Sensory, With Spastic Paraplegia, Autosomal Recessive
SPASTIC PARAPLEGIA 10	OMIM:604187	Autosomal dominant spastic paraplegia type 10	MESH:C537482	Autosomal dominant spastic paraplegia type 10	OMIM:270750	Spastic Paraplegia 23
Spastic ataxia, Charlevoix-Saguenay type	OMIM:270550	Charlevoix-Saguenay spastic ataxia	DOID:0050946	Charlevoix-Saguenay spastic ataxia	OMIM:108600	Autosomal dominant spastic ataxia type 1
SPASTIC ATAXIA 2, AUTOSOMAL RECESSIVE	OMIM:611302	Spastic Ataxia 2, Autosomal Recessive	MESH:C566969	Spastic Ataxia 2, Autosomal Recessive	OMIM:611390	Autosomal recessive spastic ataxia with leukoencephalopathy
SMITH-LEMLI-OPITZ SYNDROME, MILD	OMIM:213010	Cerebellar Vermis Aplasia With Associated Features Suggesting Smith-Lemli-Opitz Syndrome and Meckel Syndrome	OMIM:270400	Smith-Lemli-Opitz syndrome	MESH:C565867	Cerebellar Vermis Aplasia With Associated Features Suggesting Smith-Lemli-Opitz Syndrome and Meckel Syndrome
SKIN/HAIR/EYE PIGMENTATION 2, RED HAIR/FAIR SKIN
SIDERIUS X-LINKED MENTAL RETARDATION SYNDROME	OMIM:300263	Siderius X-Linked Mental Retardation Syndrome	MESH:C537333	Siderius X-Linked Mental Retardation Syndrome	OMIM:309585	Wilson-Turner X-Linked Mental Retardation Syndrome
SICK SINUS SYNDROME 2, AUTOSOMAL DOMINANT	OMIM:163800	Sick Sinus Syndrome 2, Autosomal Dominant	MESH:C563513	Sick Sinus Syndrome 2, Autosomal Dominant	OMIM:608567	Sick Sinus Syndrome 1, Autosomal Recessive
SICK SINUS SYNDROME 1, AUTOSOMAL RECESSIVE	OMIM:608567	Sick Sinus Syndrome 1, Autosomal Recessive	MESH:C563907	Sick Sinus Syndrome 1, Autosomal Recessive	OMIM:163800	Sick Sinus Syndrome 2, Autosomal Dominant
SIALIDOSIS, TYPE I	MESH:C564955	Sialidosis, Type I	ZP:0002325	abnormal(ly) decreased amount cranial cartilage collagen type I trimer	Orphanet:87876	Sialidosis type 2
SHWACHMAN-DIAMOND SYNDROME	OMIM:260400	Shwachman-Diamond syndrome	MESH:C537330	Shwachman-Diamond syndrome	Orphanet:255249	Leigh syndrome with nephrotic syndrome
Short stature, idiopathic, X-linked	OMIM:300582	Short Stature, Idiopathic, X-Linked	MESH:C564479	Short Stature, Idiopathic, X-Linked	MESH:C565805	Short Stature, Idiopathic, Autosomal
Short Stature	HP:0008873	Disproportionate short-limb short stature	HP:0008845	Mesomelic short stature	OMIM:605756	Ovarian Dysgenesis, Hypergonadotropic, With Short Stature and Recurrent Metabolic Acidosis
SEVERE COMBINED IMMUNODEFICIENCY WITH MICROCEPHALY, GROWTH RETARDATION, AND SENSITIVITY TO IONIZING RADIATION	OMIM:611291	Severe Combined Immunodeficiency With Microcephaly, Growth Retardation, and Sensitivity to Ionizing Radiation	MESH:C566970	Severe Combined Immunodeficiency With Microcephaly, Growth Retardation, and Sensitivity to Ionizing Radiation	OMIM:600546	Intrauterine Growth Retardation With Increased Mitomycin C Sensitivity
SELECTIVE T-CELL DEFECT	OMIM:269840	Selective T-Cell Defect	MESH:C536722	Selective T-Cell Defect	Orphanet:169346	DNA repair defect other than combined T-cell and B-cell immunodeficiencies
SECKEL SYNDROME 1	OMIM:210600	Seckel Syndrome 1	MESH:C537533	Seckel Syndrome 1	OMIM:613676	Seckel Syndrome 4
SC PHOCOMELIA SYNDROME	OMIM:269000	Sc Phocomelia Syndrome	DOID:0050536	SC phocomelia syndrome	Orphanet:2878	Phocomelia - ectrodactyly - deafness - sinus arrhythmia
SCLEROSTEOSIS 1	OMIM:269500	Sclerosteosis 1	MESH:C537525	Sclerosteosis 1	OMIM:614305	Sclerosteosis 2
SCHIMMELPENNING-FEUERSTEIN-MIMS SYNDROME, SOMATIC MOSAIC	OMIM:257300	Mosaic Variegated Aneuploidy Syndrome 1	DC:0000564	Mosaic Variegated Aneuploidy Syndrome	OMIM:614114	Mosaic Variegated Aneuploidy Syndrome 2
SARCOSINEMIA	OMIM:268900	Sarcosinemia	MESH:C537236	Sarcosinemia
SARCOIDOSIS, EARLY-ONSET	OMIM:609464	Sarcoidosis, Early-Onset	MESH:C563714	Sarcoidosis, Early-Onset	Orphanet:329249	Severe early-onset obesity-insulin resistance syndrome due to SH2B1 deficiency
SANDHOFF DISEASE, INFANTILE	Orphanet:309155	Sandhoff disease, infantile form	OMIM:268800	Sandhoff Disease	DOID:3323	Sandhoff disease
Rothmund-Thomson syndrome	OMIM:268400	Rothmund-Thomson syndrome	Orphanet:221008	Rothmund-Thomson syndrome type 1	Orphanet:221016	Rothmund-Thomson syndrome type 2
ROBIN SEQUENCE WITH CLEFT MANDIBLE AND LIMB ANOMALIES
Robinow syndrome, autosomal recessive	OMIM:268310	Autosomal recessive Robinow syndrome	MESH:C535863	Autosomal recessive Robinow syndrome	OMIM:180700	Robinow Syndrome, Autosomal Dominant 1
ROBINOW SYNDROME, AUTOSOMAL DOMINANT 1	OMIM:180700	Robinow Syndrome, Autosomal Dominant 1	OMIM:616331	Robinow Syndrome, Autosomal Dominant 2	Orphanet:3107	Autosomal dominant Robinow syndrome
Robinow syndrome	OMIM:268310	Autosomal recessive Robinow syndrome	OMIM:180700	Robinow Syndrome, Autosomal Dominant 1	OMIM:616331	Robinow Syndrome, Autosomal Dominant 2
RHIZOMELIC CHONDRODYSPLASIA PUNCTATA, TYPE 3	OMIM:600121	Rhizomelic chondrodysplasia punctata type 3	MESH:C537608	Rhizomelic chondrodysplasia punctata type 3	OMIM:215100	Rhizomelic chondrodysplasia punctata type 1
Rhizomelic chondrodysplasia punctata, type 1	OMIM:215100	Rhizomelic chondrodysplasia punctata type 1	MESH:C531651	Rhizomelic chondrodysplasia punctata type 1	OMIM:222765	Rhizomelic chondrodysplasia punctata type 2
RETT SYNDROME, ZAPPELLA VARIANT	OMIM:613454	Rett Syndrome, Congenital Variant	OMIM:312750	Rett Syndrome	Orphanet:3095	Atypical Rett syndrome
Rett Syndrome	OMIM:312750	Rett Syndrome	OMIM:613454	Rett Syndrome, Congenital Variant	Orphanet:3095	Atypical Rett syndrome
RETINITIS PIGMENTOSA 74	OMIM:616562	Retinitis Pigmentosa 74; RP74	DOID:10584	retinitis pigmentosa	OMIM:613194	Retinitis Pigmentosa 50
RETINITIS PIGMENTOSA 68	OMIM:615725	Retinitis Pigmentosa 68	DOID:10584	retinitis pigmentosa	OMIM:613194	Retinitis Pigmentosa 50
RETINITIS PIGMENTOSA 56	OMIM:613581	Retinitis Pigmentosa 56	DOID:10584	retinitis pigmentosa	OMIM:613194	Retinitis Pigmentosa 50
RETINITIS PIGMENTOSA 49	OMIM:613756	Retinitis Pigmentosa 49	DOID:10584	retinitis pigmentosa	OMIM:613194	Retinitis Pigmentosa 50
RETINITIS PIGMENTOSA 43	OMIM:613810	Retinitis Pigmentosa 43	DOID:10584	retinitis pigmentosa	OMIM:613194	Retinitis Pigmentosa 50
RETINITIS PIGMENTOSA 37	OMIM:611131	Retinitis Pigmentosa 37	MESH:C567005	Retinitis Pigmentosa 37	DOID:10584	retinitis pigmentosa
RETINITIS PIGMENTOSA 26	OMIM:608380	Retinitis Pigmentosa 26	MESH:C564249	Retinitis Pigmentosa 26	DOID:10584	retinitis pigmentosa
Retinitis pigmentosa 15	DOID:10584	retinitis pigmentosa	OMIM:613194	Retinitis Pigmentosa 50	OMIM:600105	Retinitis Pigmentosa 12
Retinitis pigmentosa 1	OMIM:180100	Retinitis Pigmentosa 1	MESH:C538365	Retinitis Pigmentosa 1	DOID:10584	retinitis pigmentosa
RENAL TUBULAR ACIDOSIS, DISTAL, WITH HEMOLYTIC ANEMIA	OMIM:611590	Renal Tubular Acidosis, Distal, With Hemolytic Anemia	MESH:C566910	Renal Tubular Acidosis, Distal, With Hemolytic Anemia	Orphanet:93610	Distal renal tubular acidosis with anemia
RENAL-HEPATIC-PANCREATIC DYSPLASIA 1	OMIM:208540	Renal-Hepatic-Pancreatic Dysplasia 1	OMIM:615415	Renal-Hepatic-Pancreatic Dysplasia 2	DOID:0060259	renal-hepatic-pancreatic dysplasia
RENAL GLUCOSURIA	Orphanet:247794	Juvenile cataract - microcornea - renal glucosuria	OMIM:612018	Cataract, Juvenile, With Microcornea and Glucosuria	MESH:C567434	Cataract, Juvenile, With Microcornea and Glucosuria
Radial aplasia-thrombocytopenia syndrome	Orphanet:255249	Leigh syndrome with nephrotic syndrome	Orphanet:138063	Syndrome associated with Pierre Robin syndrome	DECIPHER:16	22q11 Deletion Syndrome (Velocardiofacial / Digeorge Syndrome)
RABSON-MENDENHALL SYNDROME	OMIM:262190	Rabson-Mendenhall syndrome	Orphanet:255249	Leigh syndrome with nephrotic syndrome	Orphanet:138063	Syndrome associated with Pierre Robin syndrome
PYRIDOXAMINE 5-PRIME-PHOSPHATE OXIDASE DEFICIENCY	OMIM:610090	Pyridoxamine 5-Prime-Phosphate Oxidase Deficiency	MESH:C566449	Pyridoxamine 5-Prime-Phosphate Oxidase Deficiency	Orphanet:308400	Sulfite oxidase deficiency due to molybdenum cofactor deficiency type C
PULMONARY FIBROSIS AND/OR BONE MARROW FAILURE, TELOMERE-RELATED, 4
PULMONARY FIBROSIS AND/OR BONE MARROW FAILURE, TELOMERE-RELATED, 1
PULMONARY ALVEOLAR MICROLITHIASIS	OMIM:265100	pulmonary alveolar microlithiasis	DOID:12117	pulmonary alveolar microlithiasis	OMIM:610910	Pulmonary Alveolar Proteinosis, Acquired
PSORIASIS 2	OMIM:602723	Psoriasis 2	DOID:9008	psoriatic arthritis	OMIM:607507	Psoriatic Arthritis, Susceptibility to
PSEUDOHYPOPARATHYROIDISM, TYPE IC	Orphanet:268987	Isolated focal cortical dysplasia type Ic	OMIM:603147	Congenital Disorder of Glycosylation, Type Ic	MESH:C535741	Congenital Disorder of Glycosylation, Type Ic
PSEUDOHYPOALDOSTERONISM, TYPE IIB	MESH:C564161	Pseudohypoaldosteronism, Type IIb	Orphanet:269008	Isolated focal cortical dysplasia type IIb	OMIM:606056	Congenital Disorder of Glycosylation, Type Iib
Pseudoexfoliation glaucoma	OMIM:600975	Glaucoma 3, Primary Infantile, B	OMIM:606689	Glaucoma 1, Open Angle, B	OMIM:251750	Microspherophakia And/Or Megalocornea, With Ectopia Lentis and With or Without Secondary Glaucoma
PROTOPORPHYRIA, ERYTHROPOIETIC, X-LINKED DOMINANT	OMIM:300752	Protoporphyria, Erythropoietic, X-Linked	MESH:C567464	Protoporphyria, Erythropoietic, X-Linked	DOID:13270	erythropoietic protoporphyria
PROTEINURIA, LOW MOLECULAR WEIGHT, WITH HYPERCALCIURIA AND NEPHROCALCINOSIS	OMIM:308990	Proteinuria, Low Molecular Weight, With Hypercalciuria and Nephrocalcinosis	MESH:C545036	Proteinuria, Low Molecular Weight, With Hypercalciuria and Nephrocalcinosis	Orphanet:31043	Familial primary hypomagnesemia with hypercalciuria and nephrocalcinosis without severe ocular involvement
Prolidase deficiency	OMIM:170100	Prolidase deficiency	MESH:D056732	Prolidase deficiency	OMIM:611126	Mitochondrial Complex 1 Deficiency Due to Acad9 Deficiency
PROGRESSIVE FAMILIAL HEART BLOCK, TYPE IA	OMIM:113900	Progressive Familial Heart Block, Type 1A	OMIM:604559	Progressive Familial Heart Block, Type 1B	OMIM:140400	Progressive Familial Heart Block, Type 2
PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL DOMINANT 4	OMIM:610131	Progressive External Ophthalmoplegia With Mitochondrial Dna Deletions, Autosomal Dominant, 4	MESH:C566437	Progressive External Ophthalmoplegia With Mitochondrial Dna Deletions, Autosomal Dominant, 4	OMIM:613077	Progressive External Ophthalmoplegia With Mitochondrial Dna Deletions, Autosomal Dominant, 5
PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL DOMINANT 2	OMIM:609283	Progressive External Ophthalmoplegia With Mitochondrial Dna Deletions, Autosomal Dominant, 2	MESH:C563750	Progressive External Ophthalmoplegia With Mitochondrial Dna Deletions, Autosomal Dominant, 2	OMIM:613077	Progressive External Ophthalmoplegia With Mitochondrial Dna Deletions, Autosomal Dominant, 5
PRIMROSE SYNDROME	Orphanet:255249	Leigh syndrome with nephrotic syndrome	Orphanet:138063	Syndrome associated with Pierre Robin syndrome	DECIPHER:16	22q11 Deletion Syndrome (Velocardiofacial / Digeorge Syndrome)
Primordial Dwarfism	OMIM:210730	Microcephalic Osteodysplastic Primordial Dwarfism, Type 3	OMIM:210710	Microcephalic Osteodysplastic Primordial Dwarfism, Type 1	OMIM:210720	Microcephalic Osteodysplastic Primordial Dwarfism, Type 2
Primary Familial Brain Calcification	OMIM:613730	Hemorrhagic Destruction of the Brain, Subependymal Calcification, and Cataracts	OMIM:614561	Leukoencephalopathy, Brain Calcifications, and Cysts	Orphanet:178506	Brain calcification, Rajab type
PREMATURE OVARIAN FAILURE 9	OMIM:615724	Premature Ovarian Failure 9	OMIM:311360	Premature Ovarian Failure 1	OMIM:609993	Osteosclerosis - ichthyosis - premature ovarian failure
PREMATURE OVARIAN FAILURE 4	OMIM:311360	Premature Ovarian Failure 1	OMIM:609993	Osteosclerosis - ichthyosis - premature ovarian failure	DOID:5426	premature ovarian failure
PRECOCIOUS PUBERTY, CENTRAL, 2	OMIM:615346	Precocious Puberty, Central, 2	OMIM:176400	Precocious Puberty, Central, 1	Orphanet:759	Central precocious puberty
POSTERIOR COLUMN ATAXIA WITH RETINITIS PIGMENTOSA	OMIM:609033	Posterior column ataxia - retinitis pigmentosa	MESH:C536343	Posterior column ataxia - retinitis pigmentosa	OMIM:612674	Polyneuropathy - hearing loss - ataxia - retinitis pigmentosa - cataract
POSTAXIAL POLYDACTYLY, TYPE A1/B
POPLITEAL PTERYGIUM SYNDROME, LETHAL TYPE	OMIM:119500	Popliteal Pterygium Syndrome	DOID:0060055	popliteal pterygium syndrome	Orphanet:1300	Autosomal dominant popliteal pterygium syndrome
PONTOCEREBELLAR HYPOPLASIA, TYPE 6	OMIM:611523	pontocerebellar hypoplasia type 6	DOID:0060275	pontocerebellar hypoplasia type 6	OMIM:607596	pontocerebellar hypoplasia type 1A
PONTOCEREBELLAR HYPOPLASIA, TYPE 2B	OMIM:612389	pontocerebellar hypoplasia type 2B	DOID:0060268	pontocerebellar hypoplasia type 2B	OMIM:607596	pontocerebellar hypoplasia type 1A
Pontocerebellar hypoplasia type 2A	OMIM:277470	pontocerebellar hypoplasia type 2A	DOID:0060267	pontocerebellar hypoplasia type 2A	OMIM:607596	pontocerebellar hypoplasia type 1A
Pontocerebellar hypoplasia, type 1B	OMIM:614678	pontocerebellar hypoplasia type 1B	DOID:0060266	pontocerebellar hypoplasia type 1B	OMIM:607596	pontocerebellar hypoplasia type 1A
POLYMICROGYRIA, SYMMETRIC	OMIM:610031	Polymicrogyria, Symmetric or Asymmetric	OMIM:151800	multiple symmetric lipomatosis	OMIM:273490	Thalamic Degeneration, Symmetric Infantile
POIKILODERMA WITH NEUTROPENIA	OMIM:604173	Poikiloderma with neutropenia	MESH:C565820	Poikiloderma with neutropenia	MESH:C538496	Dilated cardiomyopathy, neutropenia, skeletal myopathy, and abnormal mitochondria
PITUITARY TUMOR, GROWTH HORMONE-SECRETING, SOMATIC	OMIM:102200	Pituitary Adenoma, Growth Hormone-Secreting, 1	OMIM:300943	Pituitary Adenoma, Growth Hormone-Secreting, 2	MESH:C566321	Pituitary Adenoma, Growth Hormone-Secreting, 1
PITUITARY HORMONE DEFICIENCY, COMBINED, 5	OMIM:221750	Pituitary Hormone Deficiency, Combined, 3	OMIM:262600	Pituitary Hormone Deficiency, Combined, 2	OMIM:613986	Pituitary Hormone Deficiency, Combined, 6
PITT-HOPKINS-LIKE SYNDROME 2	OMIM:614325	Pitt-Hopkins-Like Syndrome 2	Orphanet:221150	Pitt-Hopkins-like syndrome	OMIM:614299	Multiple Mitochondrial Dysfunctions Syndrome 2
PICK DISEASE	DOID:11870	Pick's disease	OMIM:172700	Pick Disease of Brain	MESH:D020774	Pick Disease of Brain
PHELAN-MCDERMID SYNDROME	OMIM:606232	Phelan-Mcdermid Syndrome	DECIPHER:20	22q13 Deletion Syndrome (Phelan-Mcdermid Syndrome)	MESH:C536801	Phelan-Mcdermid Syndrome
PERSISTENT MULLERIAN DUCT SYNDROME, TYPE II	OMIM:261550	Persistent Mullerian Duct Syndrome, Types 1 and 2	MESH:C536665	Persistent Mullerian Duct Syndrome, Types 1 and 2	OMIA:000791-9925	Persistent Mullerian duct syndrome in goat
PERSISTENT MULLERIAN DUCT SYNDROME, TYPE I	OMIM:261550	Persistent Mullerian Duct Syndrome, Types 1 and 2	MESH:C536665	Persistent Mullerian Duct Syndrome, Types 1 and 2	OMIA:000791-9925	Persistent Mullerian duct syndrome in goat
PERSISTENT HYPERPLASTIC PRIMARY VITREOUS, AUTOSOMAL RECESSIVE	OMIM:221900	Persistent Hyperplastic Primary Vitreous, Autosomal Recessive	OMIM:611308	Persistent Hyperplastic Primary Vitreous, Autosomal Dominant	HP:0007968	Persistent hyperplastic primary vitreous
PERRAULT SYNDROME 5	OMIM:616138	Perrault Syndrome 5	OMIM:233400	Perrault Syndrome 1	OMIM:614129	Perrault Syndrome 3
PEROXISOME BIOGENESIS DISORDER 7B	OMIM:614873	Peroxisome Biogenesis Disorder 7B	OMIM:614879	Peroxisome Biogenesis Disorder 9B	OMIM:614862	Peroxisome Biogenesis Disorder 4A (Zellweger)
PEROXISOME BIOGENESIS DISORDER 6A (ZELLWEGER)	OMIM:614870	Peroxisome Biogenesis Disorder 6A (Zellweger)	MESH:C566422	Peroxisome Biogenesis Disorder 6A (Zellweger)	OMIM:614862	Peroxisome Biogenesis Disorder 4A (Zellweger)
PEROXISOME BIOGENESIS DISORDER 5B	OMIM:614867	Peroxisome Biogenesis Disorder 5B	OMIM:614879	Peroxisome Biogenesis Disorder 9B	OMIM:614862	Peroxisome Biogenesis Disorder 4A (Zellweger)
PERLMAN SYNDROME	OMIM:267000	Perlman syndrome	MESH:C536399	Perlman syndrome	Orphanet:255249	Leigh syndrome with nephrotic syndrome
PEELING SKIN SYNDROME 4	OMIM:609796	Acral peeling skin syndrome	OMIM:270300	Peeling Skin Syndrome 1	OMIM:616265	Peeling Skin Syndrome 3
PEELING SKIN SYNDROME 1	OMIM:270300	Peeling Skin Syndrome 1	MESH:C564818	Peeling Skin Syndrome 1	OMIM:609796	Acral peeling skin syndrome
Parkin Type of Early-Onset Parkinson Disease	OMIM:260300	Parkinson Disease 15, Autosomal Recessive Early-Onset	OMIM:606324	autosomal recessive early-onset Parkinson disease 7	OMIM:605909	early-onset Parkinson disease 6
PARKINSON DISEASE 15, AUTOSOMAL RECESSIVE	OMIM:260300	Parkinson Disease 15, Autosomal Recessive Early-Onset	DOID:0060372	autosomal recessive early-onset Parkinson disease 15	MESH:C538104	Parkinson Disease 15, Autosomal Recessive Early-Onset
PARATHYROID CARCINOMA, SOMATIC	OMIM:608266	parathyroid carcinoma	HP:0006780	Parathyroid carcinoma	DOID:1540	parathyroid carcinoma
PARAMYOTONIA CONGENITA/HYPERKALEMIC PERIODIC PARALYSIS
PARAGANGLIOMAS 5	OMIM:614165	Paragangliomas 5	OMIM:168000	Paragangliomas 1	OMIM:115310	Paragangliomas 4
PARAGANGLIOMA AND GASTRIC STROMAL SARCOMA
PANCREATITIS, CHRONIC, SUSCEPTIBILITY TO	MP:0004761	increased susceptibility to induced pancreatitis	MP:0004155	decreased susceptibility to induced pancreatitis	Orphanet:676	Hereditary chronic pancreatitis
PANCREATIC CANCER, SUSCEPTIBILITY TO, 3	OMIM:613348	Pancreatic Cancer, Susceptibility To, 3	OMIM:606856	Pancreatic Cancer, Susceptibility To, 1	OMIM:613347	Pancreatic Cancer, Susceptibility To, 2
PANCREATIC CANCER, SOMATIC	DOID:1793	pancreatic cancer	OMIM:260350	Pancreatic Cancer	OMIM:606856	Pancreatic Cancer, Susceptibility To, 1
PANCREATIC AGENESIS 1	OMIM:260370	Pancreatic Agenesis 1	MESH:C564908	Pancreatic Agenesis 1	OMIM:615935	Pancreatic Agenesis 2
PALMOPLANTAR KERATODERMA, NAGASHIMA TYPE	OMIM:615598	Palmoplantar keratoderma, Nagashima type	OMIM:101850	punctate palmoplantar keratoderma type III	OMIM:148600	Palmoplantar Keratoderma, Punctate Type 1A
PALMOPLANTAR KERATODERMA, MUTILATING, WITH PERIORIFICIAL KERATOTIC PLAQUES	OMIM:614594	Palmoplantar Keratoderma, Mutilating, With Periorificial Keratotic Plaques	OMIM:300918	Palmoplantar Keratoderma, Mutilating, With Periorificial Keratotic Plaques, X-Linked	Orphanet:659	Mutilating palmoplantar keratoderma with periorificial keratotic plaques
PAGET DISEASE OF BONE 3	OMIM:167250	Paget Disease of Bone 3	OMIM:615424	Inclusion Body Myopathy With Early-Onset Paget Disease With or Without Frontotemporal Dementia 3	OMIM:602080	Paget Disease of Bone 2, Early-Onset
P1PK BLOOD GROUP SYSTEM, P(k) PHENOTYPE	OMIA:000131	Blood group system K	OMIA:000131-9925	Blood group system K in goat	OMIA:000131-9103	Blood group system K in turkey
OTOSPONDYLOMEGAEPIPHYSEAL DYSPLASIA	OMIM:215150	otospondylomegaepiphyseal dysplasia	DOID:0080026	otospondylomegaepiphyseal dysplasia	OMIM:609324	Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia
OSTEOPETROSIS, AUTOSOMAL RECESSIVE 4	OMIM:611490	Osteopetrosis, Autosomal Recessive 4	MESH:C566933	Osteopetrosis, Autosomal Recessive 4	OMIM:259710	Osteopetrosis, Autosomal Recessive 2
OSTEOMYELITIS, STERILE MULTIFOCAL, WITH PERIOSTITIS AND PUSTULOSIS	OMIM:612852	Sterile multifocal osteomyelitis with periostitis and pustulosis	MESH:C557815	Sterile multifocal osteomyelitis with periostitis and pustulosis
OSTEOGLOPHONIC DYSPLASIA	OMIM:166250	Osteoglophonic dwarfism	OMIM:609324	Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia	Orphanet:253	Spondyloepiphyseal dysplasia and spondyloepimetaphyseal dysplasia
OSSEOUS HETEROPLASIA, PROGRESSIVE	OMIM:166350	Progressive osseous heteroplasia	MESH:C562735	Progressive osseous heteroplasia	Orphanet:240112	Progressive supranuclear palsy - progressive non fluent aphasia
OROFACIAL CLEFT 11	OMIM:600625	Orofacial Cleft 11	MESH:C563468	Orofacial Cleft 11	OMIM:119530	Orofacial Cleft 1
Ornithine carbamoyltransferase deficiency	OMIM:311250	ornithine carbamoyltransferase deficiency	DOID:9271	ornithine carbamoyltransferase deficiency	MP:0011587	increased ornithine carbamoyltransferase activity
Opitz-Frias syndrome	OMIM:145410	Opitz Gbbb Syndrome, Type 2	Orphanet:255249	Leigh syndrome with nephrotic syndrome	Orphanet:138063	Syndrome associated with Pierre Robin syndrome
