disease	disease_label	model_gene	gene_label	model_gene_taxon	owlsim_score	owlsim_rank	models	disease_pheno_count	disease_gene_count	modgene_pheno_count	isLeafNode
OMIM:241530	Hypophosphatemic Rickets With Hypercalciuria, Hereditary	MGI:1345284	Slc34a1	Mouse	59	7	2	35	1	21	true
OMIM:615451	Primary ciliary dyskinesia 23	MGI:1922184	Armc4	Mouse	64	7	2	8	1	24	true
OMIM:188400	DiGeorge syndrome	MGI:2177178	Dicer1	Mouse	61	7	1	236	12	190	false
OMIM:219100	Cutis Laxa, Autosomal Recessive, Type 1A	MGI:1346091	Fbln5	Mouse	62	7	2	17	3	24	true
OMIM:605067	Tricuspid Atresia	MGI:1334444	Zfpm2	Mouse	62	7	1	42	0	66	false
OMIM:219700	Cystic Fibrosis	ZFIN:ZDB-GENE-050517-20	cftr	Zebrafish	44	7	1	182	22	30	false
OMIM:158350	Cowden syndrome 1	MGI:109583	Pten	Mouse	58	7	11	75	3	459	false
OMIM:142340	Congenital diaphragmatic hernia	MGI:98369	Sox7	Mouse	72	7	1	1	1	7	true
OMIM:608810	Alpha-B crystallinopathy	MGI:88516	Cryab	Mouse	48	7	2	14	1	13	false
OMIM:193000	VUR1	MGI:98914	Upk3a	Mouse	91	7	1	2	0	9	true
OMIM:163500	Congenital stationary night blindness, autosomal dominant 2	MGI:97525	Pde6b	Mouse	44	7	14	1	1	36	true
DOID:3649	pyruvate decarboxylase deficiency	ZFIN:ZDB-GENE-030131-2921	dlat	Zebrafish	44	7	1	194	11	8	false
OMIM:607616	Niemann-Pick disease, type B	MGI:98325	Smpd1	Mouse	53	7	2	13	2	33	true
OMIM:236750	Non-immune hydrops fetalis	MGI:1926944	Calcrl	Mouse	63	7	1	12	13	19	false
OMIM:606574	Oculocutaneous albinism type 4	MGI:2153040	Slc45a2	Mouse	66	7	7	13	1	13	true
DOID:5603	acute T cell leukemia	ZFIN:ZDB-GENE-090504-3	otg	Zebrafish	43	7	1	59	0	8	true
OMIM:605809	Myasthenic Syndrome, Congenital, 4A, Slow-Channel	MGI:87894	Chrne	Mouse	48	7	1	20	1	17	true
OMIM:192350	VATER association	MGI:97515	Pcsk5	Mouse	66	8	2	87	6	74	false
OMIM:233300	Ovarian Dysgenesis 1	MGI:1914280	Fancl	Mouse	68	8	1	4	1	30	true
OMIM:278720	Xeroderma Pigmentosum, Complementation Group C	MGI:103557	Xpc	Mouse	53	8	1	14	1	11	true
OMIM:226730	Epidermolysis Bullosa Junctionalis With Pyloric Atresia	MGI:96613	Itgb4	Mouse	46	8	1	25	3	27	false
OMIM:188400	DiGeorge syndrome	MGI:102949	Foxn1	Mouse	60	8	1	236	12	130	false
OMIM:601472	Charcot-Marie-Tooth Disease, Axonal, Type 2D	MGI:2449057	Gars	Mouse	44	8	3	13	1	32	true
OMIM:133100	Familial erythrocytosis, 1	MGI:95408	Epor	Mouse	52	8	2	43	6	40	false
OMIM:304020	Cone-Rod Dystrophy, X-Linked, 1	MGI:1344037	Rpgr	Mouse	46	8	2	8	1	15	true
OMIM:100800	Achondroplasia	MGI:97372	Npr2	Mouse	57	8	3	552	10	87	false
OMIM:118450	Alagille syndrome due to 20p12 microdeletion	MGI:97364	Notch2	Mouse	55	8	1	46	2	86	false
OMIM:268000	Retinitis Pigmentosa	MGI:97524	Pde6a	Mouse	59	8	2	3	41	12	true
OMIM:183900	Spondyloepiphyseal Dysplasia Congenita	MGI:88452	Col2a1	Mouse	52	8	6	46	1	148	true
OMIM:615058	Night Blindness, Congenital Stationary, Type 1F	MGI:2685267	Lrit3	Mouse	48	8	1	3	1	9	true
OMIM:615482	Primary ciliary dyskinesia 25	MGI:1914935	Dyx1c1	Mouse	65	8	1	8	2	29	true
OMIM:268000	Retinitis Pigmentosa	MGI:97914	Rho	Mouse	59	8	2	3	41	41	true
OMIM:268000	Retinitis Pigmentosa	MGI:2443639	Ccdc66	Mouse	59	8	1	3	41	10	true
OMIM:254450	Myelofibrosis	MGI:95661	Gata1	Mouse	68	8	2	53	11	78	false
OMIM:600116	Parkinson Disease 2, Autosomal Recessive Juvenile	MGI:1355296	Park2	Mouse	54	8	9	9	3	44	true
OMIM:607411	patent ductus arteriosus	MGI:1095416	Jag1	Mouse	57	8	1	171	7	117	false
OMIM:214800	CHARGE association	MGI:98834	Trp53	Mouse	63	8	1	164	2	271	true
OMIM:116200	Cataract 1, Multiple Types	MGI:99953	Gja8	Mouse	63	8	4	3	1	17	true
DOID:0050570	congenital disorder of glycosylation type I	ZFIN:ZDB-GENE-030722-6	pmm2	Zebrafish	44	8	1	681	44	17	false
OMIM:609310	Colorectal Cancer, Hereditary Nonpolyposis, Type 2	MGI:101938	Mlh1	Mouse	53	8	2	30	4	36	false
OMIM:608931	Myasthenic Syndrome, Congenital, 4C, Associated With Acetylcholine Receptor Deficiency	MGI:87894	Chrne	Mouse	49	8	1	27	5	17	true
OMIM:606685	Cardiomyopathy, Dilated, 1L	MGI:1346525	Sgcd	Mouse	51	8	2	2	1	19	true
OMIM:186000	Synpolydactyly 1	MGI:96205	Hoxd13	Mouse	46	8	3	12	1	43	true
OMIM:152700	Systemic Lupus Erythematosus	MGI:96892	Lyn	Mouse	65	8	2	13	11	84	true
OMIM:187500	Tetralogy of Fallot	MGI:99604	Fgf8	Mouse	57	8	1	96	16	149	false
OMIM:609310	Colorectal Cancer, Hereditary Nonpolyposis, Type 2	MGI:88039	Apc	Mouse	53	8	1	30	4	213	false
OMIM:614976	Carpenter syndrome 2	MGI:2446294	Megf8	Mouse	62	8	1	43	1	65	true
OMIM:613217	Diarrhea 5, With Tufting Enteropathy, Congenital	MGI:106653	Epcam	Mouse	59	8	1	5	1	37	true
OMIM:601777	Cone-Rod Dystrophy 6	MGI:105123	Gucy2e	Mouse	37	8	1	3	1	10	true
OMIM:601626	acute myeloid leukemia	MGI:101785	Mybl2	Mouse	58	8	1	341	201	35	false
OMIM:608233	Hermansky-Pudlak syndrome with neutropenia	MGI:2177763	Hps1	Mouse	51	8	1	30	1	31	true
OMIM:271900	Canavan disease	MGI:87914	Aspa	Mouse	56	8	2	56	3	43	false
DOID:11294	arteriovenous malformation	ZFIN:ZDB-GENE-021003-1	acvrl1	Zebrafish	44	8	1	415	8	37	false
OMIM:606690	Lymphangiomyomatosis	MGI:102548	Tsc2	Mouse	50	8	1	54	5	84	true
OMIM:192430	Shprintzen syndrome	MGI:1313268	Chrd	Mouse	52	8	1	31	5	91	true
OMIM:614120	Hydrolethalus Syndrome 2	MGI:1098239	Kif7	Mouse	60	8	1	9	1	36	true
OMIM:166710	Osteoporosis	MGI:103076	Vdr	Mouse	57	8	1	355	70	142	false
OMIM:249900	Sphingolipid activator protein 1 deficiency	MGI:97783	Psap	Mouse	56	8	1	20	1	126	true
OMIM:158170	Chromosome 9P Deletion Syndrome	MGI:2670972	Frem1	Mouse	54	8	2	76	0	44	true
OMIM:211600	Progressive intrahepatic cholestasis	MGI:1859665	Atp8b1	Mouse	50	8	1	18	4	16	false
OMIM:161950	IGAN1	MGI:105059	<null>	Mouse	57	8	1	7	3	56	true
OMIM:188400	DiGeorge syndrome	MGI:107928	Aldh1a2	Mouse	60	8	1	236	12	88	false
OMIM:310500	Congenital stationary night blindness, type 1A	MGI:2448607	Nyx	Mouse	39	8	1	3	1	5	true
OMIM:176620	Priapism, Familial Idiopathic	MGI:87916	Ada	Mouse	53	8	1	1	0	23	true
OMIM:188400	DiGeorge syndrome	MGI:2442415	Kat6a	Mouse	60	8	2	236	12	60	false
OMIM:613985	beta thalassemia	MGI:96021	Hbb-b1	Mouse	60	8	11	143	15	44	false
OMIM:612780	Seizures, Sensorineural Deafness, Ataxia, Mental Retardation, and Electrolyte Imbalance	MGI:1194504	Kcnj10	Mouse	57	8	2	25	1	90	true
OMIM:212780	Cenani-Lenz syndrome	MGI:2442252	Lrp4	Mouse	68	8	2	45	2	58	true
OMIM:607411	patent ductus arteriosus	MGI:104311	Ptger4	Mouse	57	8	2	171	7	43	false
OMIM:209300	Atransferrinemia	MGI:98821	Trf	Mouse	47	8	2	8	2	15	false
OMIM:266920	Short-Rib Thoracic Dysplasia 9 With or Without Polydactyly	MGI:2146906	Ift140	Mouse	59	8	1	22	1	67	true
OMIM:205400	Tangier Disease	MGI:99607	Abca1	Mouse	54	8	7	40	2	54	true
OMIM:614842	Hypogonadotropic Hypogonadism 13 With or Without Anosmia	MGI:1915588	Golt1a	Mouse	68	8	2	4	1	47	true
OMIM:607039	Deafness, autosomal recessive 22	MGI:2149209	Otoa	Mouse	77	8	1	1	1	7	true
OMIM:113970	Burkitt lymphoma	MGI:96442	Igh	Mouse	52	8	1	83	15	99	false
OMIM:176807	Malignant tumor of prostate	MGI:1928480	Acpp	Mouse	42	9	1	1	18	7	true
OMIM:601626	acute myeloid leukemia	MGI:88563	Ctsg	Mouse	57	9	1	341	201	17	false
OMIM:176807	Malignant tumor of prostate	MGI:97352	Nkx3-1	Mouse	42	9	7	1	18	32	true
OMIM:259730	Osteopetrosis with renal tubular acidosis	MGI:88269	Car2	Mouse	50	9	1	15	1	19	true
OMIM:192430	Shprintzen syndrome	MGI:98493	Tbx1	Mouse	51	9	5	31	5	178	true
OMIM:310200	Muscular Dystrophy, Duchenne Type	MGI:109558	Terc	Mouse	55	9	2	79	9	70	false
OMIM:188400	DiGeorge syndrome	MGI:96175	Hoxa3	Mouse	59	9	1	236	12	47	false
DOID:0050439	Usher syndrome	ZFIN:ZDB-GENE-060312-41	ush1c	Zebrafish	39	9	3	126	32	19	false
OMIM:132400	Multiple epiphyseal dysplasia type 1	MGI:88469	Comp	Mouse	55	9	1	24	1	22	true
OMIM:605583	Deafness, autosomal dominant 25	MGI:3039629	Slc17a8	Mouse	76	9	1	1	1	20	true
OMIM:611228	Charcot-Marie-Tooth disease, type 4J	MGI:2143585	Fig4	Mouse	48	9	2	13	1	47	true
OMIM:228930	Fuhrmann syndrome	MGI:98961	Wnt7a	Mouse	65	9	2	44	1	37	true
OMIM:268310	Robinow Syndrome, Autosomal Recessive	MGI:1347521	Ror2	Mouse	59	9	2	118	1	121	true
OMIM:122470	Cornelia De Lange Syndrome 1	MGI:1913976	Nipbl	Mouse	55	9	1	80	3	64	true
OMIM:278700	Xeroderma Pigmentosum, Complementation Group a	MGI:99135	Xpa	Mouse	49	9	1	18	2	42	true
OMIM:613718	Deafness, Autosomal Recessive 74	MGI:2443538	Msrb3	Mouse	90	9	1	1	1	7	true
OMIM:162200	Neurofibromatosis, Type 1	MGI:96680	Kras	Mouse	50	9	1	167	11	198	false
OMIM:609637	Holoprosencephaly 5	MGI:106679	Zic2	Mouse	61	9	1	16	1	59	true
OMIM:220400	Jervell and Lange-Nielsen syndrome 1	MGI:108083	Kcnq1	Mouse	58	9	3	5	3	72	true
OMIM:259700	Osteopetrosis autosomal recessive 1	MGI:5702426	ntl	Mouse	50	9	1	25	2	28	true
OMIM:104300	Alzheimer Disease	MGI:2145021	Trib2	Mouse	42	9	2	5	14	28	true
OMIM:260950	Periodontitis, Chronic	MGI:2136853	Fam20c	Mouse	46	9	1	13	2	78	true
OMIM:609322	Rhabdoid Tumor Predisposition Syndrome 1	MGI:1328366	Smarcb1	Mouse	46	9	3	16	1	50	true
OMIM:277580	Waardenburg Syndrome, Type 4A	MGI:102720	Ednrb	Mouse	51	9	2	17	4	89	true
OMIM:115000	Cardiac arrhythmia	MGI:98251	Scn5a	Mouse	40	9	1	3	12	39	true
OMIM:229300	Friedreich Ataxia 1	MGI:1096879	Fxn	Mouse	51	9	5	25	1	42	true
OMIM:312700	Juvenile retinoschisis	MGI:1336189	Rs1	Mouse	41	9	4	12	2	19	true
OMIM:168600	Parkinson Disease, Late-Onset	MGI:87926	Adh7	Mouse	48	9	1	22	18	12	true
OMIM:114550	Hepatocellular carcinoma	MGI:1889549	Txnip	Mouse	52	9	3	112	215	58	false
OMIM:607426	Coenzyme Q10 Deficiency, Primary, 1	MGI:1918615	Pdss2	Mouse	51	9	1	26	6	68	true
OMIM:614072	Hermansky-Pudlak syndrome 3	MGI:2153839	Hps3	Mouse	44	9	3	4	1	14	true
OMIM:607624	Griscelli syndrome type 2	MGI:1861441	Rab27a	Mouse	53	9	1	26	1	38	true
OMIM:145900	Dejerine-Sottas disease	MGI:103177	Mpz	Mouse	47	9	1	21	5	29	true
OMIM:610042	Cortical Dysplasia-Focal Epilepsy Syndrome	MGI:1914047	Cntnap2	Mouse	38	9	1	8	1	21	true
OMIM:125853	type 2 diabetes mellitus	MGI:97495	Pbx1	Mouse	60	9	1	473	168	95	false
OMIM:167750	Pancreas, Annular	MGI:2136690	Cers1	Mouse	46	9	1	5	0	46	true
OMIM:601216	Brachyolmia-amelogenesis imperfecta syndrome	MGI:1101355	Ltbp3	Mouse	50	9	1	12	1	40	true
OMIM:142900	Holt-Oram Syndrome	MGI:3522251	vsd	Mouse	60	9	2	43	2	24	false
OMIM:601675	Photosensitive trichothiodystrophy	MGI:95413	Ercc2	Mouse	66	9	3	19	4	66	true
OMIM:270150	Sjogren's syndrome	MGI:1338881	St14	Mouse	65	9	1	183	0	68	true
OMIM:171300	Pheochromocytoma	MGI:97902	Ret	Mouse	57	9	1	137	16	124	false
OMIM:607595	Brain small vessel disease with hemorrhage	MGI:88454	Col4a1	Mouse	53	9	1	25	1	61	false
DOID:12053	cryptococcosis	ZFIN:ZDB-GENE-001205-1	csf1ra	Zebrafish	45	9	1	89	0	69	false
OMIM:226650	Adult junctional epidermolysis bullosa	MGI:96613	Itgb4	Mouse	51	9	1	22	12	27	false
OMIM:300322	Lesch-Nyhan syndrome	MGI:96217	Hprt	Mouse	51	9	2	69	1	180	false
OMIM:180200	retinoblastoma	MGI:97878	Rbp3	Mouse	56	9	1	109	4	11	false
OMIM:245200	Galactosylceramide beta-galactosidase deficiency	MGI:97783	Psap	Mouse	50	9	1	81	8	126	false
OMIM:125853	type 2 diabetes mellitus	MGI:104663	Lep	Mouse	60	9	1	473	168	186	false
OMIM:155255	medulloblastoma	MGI:97874	Rb1	Mouse	58	9	2	52	46	163	false
OMIM:239100	SOST-related sclerosing bone dysplasia	MGI:1921749	Sost	Mouse	47	9	1	69	7	27	false
OMIM:173900	Polycystic kidney disease, adult type	MGI:5311352	b2b1200Clo	Mouse	48	9	1	6	1	26	true
OMIM:182900	Spherocytosis, Type 1	MGI:88024	Ank1	Mouse	73	9	4	7	1	108	true
OMIM:144250	Hyperlipidemia, Familial Combined	MGI:96765	Ldlr	Mouse	42	9	1	3	1	74	true
OMIM:603358	Gracile Syndrome	MGI:1914071	Bcs1l	Mouse	53	9	1	14	1	20	false
DOID:14330	Parkinson's disease	ZFIN:ZDB-GENE-041212-53	pink1	Zebrafish	37	9	1	283	121	66	false
OMIM:190350	trichorhinophalangeal syndrome type I	MGI:1927616	Trps1	Mouse	47	9	1	91	3	45	false
OMIM:300068	Androgen Insensitivity Syndrome	MGI:95543	Fkbp4	Mouse	61	9	2	81	4	36	false
OMIM:276901	Usher syndrome, type 2A	MGI:1341292	Ush2a	Mouse	50	9	1	2	2	9	true
OMIM:152700	Systemic Lupus Erythematosus	MGI:1342542	Ikzf3	Mouse	64	9	1	13	11	45	true
OMIM:219050	Cryptorchidism, unilateral or bilateral	MGI:108427	Insl3	Mouse	39	9	5	2	2	13	true
OMIM:276950	Vacterl Association With Hydrocephalus	MGI:2682064	Ift172	Mouse	65	9	1	20	3	54	false
OMIM:601493	Cardiomyopathy, Dilated, 1C, With or Without Left Ventricular Noncompaction	MGI:1917115	A1cf	Mouse	77	9	1	5	1	5	true
OMIM:136880	Pigmentary retinal dystrophy	MGI:2385957	Mfrp	Mouse	30	9	1	3	5	10	true
OMIM:173900	Polycystic kidney disease, adult type	MGI:5437089	b2b1200.1Clo	Mouse	48	9	1	6	1	20	true
OMIM:613428	Retinitis Pigmentosa 54	MGI:2385061	BC027072	Mouse	48	9	1	7	1	19	true
OMIM:116100	Cataract 20, Multiple Types	MGI:1298216	Crygs	Mouse	34	9	3	1	1	5	true
OMIM:601543	Deafness, autosomal dominant 12	MGI:109575	Tecta	Mouse	76	9	4	1	1	24	true
OMIM:607323	Duane-Radial Ray Syndrome	MGI:2139360	Sall4	Mouse	53	9	4	75	1	63	true
OMIM:174800	Mccune-Albright Syndrome	MGI:88467	Col1a1	Mouse	55	9	1	292	6	325	false
OMIM:615348	Nemaline Myopathy 8	MGI:1919580	Klhl40	Mouse	49	9	1	9	1	15	true
OMIM:218000	Corpus callosum agenesis - neuronopathy	MGI:2135960	Slc12a6	Mouse	52	9	3	53	1	54	true
OMIM:613838	Familial hypertrophic cardiomyopathy 16	MGI:1913063	Myoz2	Mouse	61	9	1	5	1	14	true
OMIM:114550	Hepatocellular carcinoma	MGI:1202304	Gnmt	Mouse	52	9	1	112	215	19	false
OMIM:208050	Arterial tortuosity syndrome	MGI:1918961	Mus81	Mouse	52	10	1	64	1	42	true
OMIM:614436	Charcot-Marie-Tooth disease type 2P	MGI:2684789	Lrsam1	Mouse	48	10	1	11	1	6	true
OMIM:607432	Lissencephaly 1	MGI:98869	Tuba1a	Mouse	58	10	1	13	2	20	false
OMIM:308350	Epileptic Encephalopathy, Early Infantile, 1	MGI:1097716	Arx	Mouse	52	10	4	16	2	74	true
OMIM:268100	Goldmann-Favre syndrome	MGI:1346317	Nr2e3	Mouse	45	10	2	8	1	12	true
OMIM:263200	Autosomal recessive polycystic kidney disease	MGI:98715	Ift88	Mouse	53	10	4	37	6	98	false
OMIM:105400	Amyotrophic lateral sclerosis type 1	MGI:2178798	Vps54	Mouse	58	10	1	11	51	50	true
OMIM:245200	Galactosylceramide beta-galactosidase deficiency	MGI:95636	Galc	Mouse	49	10	2	81	8	69	false
OMIM:278730	Xeroderma Pigmentosum, Complementation Group D	MGI:95413	Ercc2	Mouse	48	10	1	18	1	66	true
OMIM:109720	PBC1	MGI:1858204	Map3k14	Mouse	49	10	1	1	0	64	true
OMIM:263200	Autosomal recessive polycystic kidney disease	MGI:1890646	Nek8	Mouse	53	10	1	37	6	22	false
OMIM:152700	Systemic Lupus Erythematosus	MGI:107799	Gadd45a	Mouse	63	10	2	13	11	39	true
OMIM:614286	Myelodysplastic Syndrome	MGI:2684063	Asxl1	Mouse	55	10	4	329	56	95	false
OMIM:226650	Adult junctional epidermolysis bullosa	MGI:99913	Lamc2	Mouse	50	10	1	22	12	27	false
DOID:0050570	congenital disorder of glycosylation type I	ZFIN:ZDB-GENE-050904-6	mpi	Zebrafish	42	10	1	681	44	12	false
OMIM:605253	Neuropathy, Congenital Hypomyelinating or Amyelinating, Autosomal Recessive	MGI:95296	Egr2	Mouse	48	10	2	11	2	76	true
OMIM:152700	Systemic Lupus Erythematosus	MGI:2143599	Traf3ip2	Mouse	63	10	2	13	11	55	true
OMIM:217095	Conotruncal Heart Malformations	MGI:109448	Cfc1	Mouse	61	10	1	35	9	40	false
OMIM:142945	Holoprosencephaly 3	MGI:1916147	Disp1	Mouse	59	10	1	8	1	61	true
OMIM:270150	Sjogren's syndrome	MGI:98737	Thbs1	Mouse	64	10	1	183	0	56	true
OMIM:270700	Spastic paraplegia 15	MGI:1924767	Zfyve26	Mouse	51	10	1	24	1	25	true
DOID:1339	Diamond-Blackfan anemia	ZFIN:ZDB-GENE-040625-147	rpl11	Zebrafish	42	10	2	157	35	61	false
OMIM:273800	Glanzmann's thrombasthenia	MGI:96612	Itgb3	Mouse	54	10	1	24	2	78	true
OMIM:601536	Athabaskan Brainstem Dysgenesis Syndrome	MGI:96170	Hoxa1	Mouse	46	10	1	5	1	92	true
OMIM:278700	Xeroderma Pigmentosum, Complementation Group a	MGI:95413	Ercc2	Mouse	48	10	1	18	2	66	true
OMIM:167750	Pancreas, Annular	MGI:96533	Ihh	Mouse	45	10	1	5	0	67	true
OMIM:607624	Griscelli syndrome type 2	MGI:1855937	Gm14226	Mouse	52	10	1	26	1	189	true
OMIM:127300	Leri Weill dyschondrosteosis	MGI:1201673	Shox2	Mouse	53	10	1	50	2	31	false
OMIM:600057	Exstrophy of the bladder	MGI:1330810	Trp63	Mouse	60	10	1	37	15	141	false
OMIM:253550	intermediate spinal muscular atrophy	MGI:109257	Smn1	Mouse	61	10	1	7	3	60	true
OMIM:226650	Adult junctional epidermolysis bullosa	MGI:99909	Lama3	Mouse	50	10	1	22	12	9	false
OMIM:256800	Hereditary insensitivity to pain with anhidrosis	MGI:97383	Ntrk1	Mouse	44	10	2	28	1	43	true
OMIM:267450	newborn respiratory distress syndrome	MGI:103178	Vegfa	Mouse	53	10	1	194	3	219	false
OMIM:614286	Myelodysplastic Syndrome	ZFIN:ZDB-GENE-090312-98	tet2	Zebrafish	42	10	1	329	56	21	false
OMIM:606889	Alzheimer Disease 4	MGI:88059	App	Mouse	40	10	3	4	3	51	true
OMIM:125800	Diabetes Insipidus, Nephrogenic, Autosomal	MGI:1333777	Aqp3	Mouse	60	10	1	15	1	19	true
OMIM:607785	Juvenile Myelomonocytic Leukemia	MGI:96680	Kras	Mouse	52	10	2	49	21	198	false
OMIM:152700	Systemic Lupus Erythematosus	MGI:107170	Ptpn22	Mouse	63	10	1	13	11	56	true
OMIM:611528	Arrhythmogenic Right Ventricular Dysplasia, Familial, 12	MGI:96650	Jup	Mouse	54	10	3	3	1	77	true
OMIM:604625	Tooth Agenesis, Selective, 3	MGI:97493	Pax9	Mouse	52	10	2	2	1	56	true
OMIM:304110	Craniofrontonasal Syndrome	MGI:102708	Efnb1	Mouse	50	10	1	69	1	35	true
OMIM:151210	Platyspondylic dysplasia, Torrance type	MGI:88452	Col2a1	Mouse	52	10	1	40	1	148	true
OMIM:601780	Ceroid lipofuscinosis neuronal 6	MGI:2159324	Cln6	Mouse	36	10	1	8	8	14	false
OMIM:270150	Sjogren's syndrome	MGI:96556	Il4	Mouse	64	10	2	183	0	61	true
OMIM:614841	Hypogonadotropic Hypogonadism 12 With or Without Anosmia	MGI:95789	Gnrh1	Mouse	66	10	1	7	1	41	true
OMIM:254110	Muscular Dystrophy, Limb-Girdle, Type 2H	MGI:1917057	Trim32	Mouse	55	10	2	23	2	20	true
OMIM:115150	Cardiofaciocutaneous syndrome 1	MGI:88190	Braf	Mouse	51	10	4	73	4	158	true
OMIM:125853	type 2 diabetes mellitus	MGI:98504	Hnf1a	Mouse	59	10	1	473	168	47	false
OMIM:605676	Cardiomyopathy, Dilated, With Woolly Hair and Keratoderma	MGI:109611	Dsp	Mouse	54	10	1	7	1	55	true
OMIM:200400	Achalasia, Familial Esophageal	MGI:1345138	Spry2	Mouse	59	10	1	38	3	33	true
OMIM:602875	Acromesomelic dysplasia Maroteaux type	MGI:97372	Npr2	Mouse	49	10	2	41	1	87	true
OMIM:123000	Craniometaphyseal Dysplasia, Autosomal Dominant	MGI:3045421	Ank	Mouse	45	10	1	16	1	56	true
OMIM:605899	Glycine Encephalopathy	MGI:95760	Slc6a9	Mouse	49	10	1	35	12	33	false
OMIM:100800	Achondroplasia	MGI:99602	Acan	Mouse	55	10	1	552	10	52	false
OMIM:164500	spinocerebellar ataxia type 7	MGI:2179277	Atxn7	Mouse	48	10	6	20	1	24	true
OMIM:145980	Hypocalciuric hypercalcemia, familial, type 1	MGI:1351351	Casr	Mouse	68	10	7	6	1	53	true
OMIM:183900	Spondyloepiphyseal Dysplasia Congenita	MGI:1337006	Hapln1	Mouse	50	10	1	46	1	19	true
OMIM:312750	Rett syndrome	MGI:88145	Bdnf	Mouse	49	10	1	104	6	132	false
OMIM:101600	Pfeiffer syndrome	MGI:95522	Fgfr1	Mouse	55	10	1	125	6	191	false
OMIM:188400	DiGeorge syndrome	MGI:5446153	b2b1941Clo	Mouse	58	10	1	236	12	26	false
OMIM:603165	Dermatitis, Atopic	MGI:104741	Nfkbia	Mouse	44	10	1	15	1	87	true
OMIM:209850	Autism	MGI:96285	Slc6a4	Mouse	45	10	2	12	5	36	true
OMIM:150699	Uterine leiomyoma	MGI:102548	Tsc2	Mouse	55	10	1	1	1	84	true
OMIM:275200	Hypothyroidism, Congenital, Nongoitrous, 1	MGI:98849	Tshr	Mouse	56	10	3	13	2	65	true
OMIM:146200	Hypoparathyroidism, Familial Isolated	MGI:1861438	Gcm2	Mouse	60	10	1	69	9	21	false
OMIM:173900	Polycystic kidney disease, adult type	MGI:5433393	b2b1163Clo	Mouse	47	10	1	6	1	16	true
OMIM:609136	Peripheral Demyelinating Neuropathy, Central Dysmyelination, Waardenburg Syndrome, and Hirschsprung Disease	MGI:103177	Mpz	Mouse	47	10	1	58	1	29	true
OMIM:231300	Glaucoma, congenital	MGI:98880	Tyr	Mouse	38	10	3	3	2	60	true
OMIM:187500	Tetralogy of Fallot	MGI:1334444	Zfpm2	Mouse	55	10	1	96	16	66	false
OMIM:165500	Dominant hereditary optic atrophy	MGI:1921393	Opa1	Mouse	47	10	2	27	2	46	false
OMIM:222448	Donnai-Barrow Syndrome	MGI:95794	Lrp2	Mouse	48	10	1	44	1	85	true
OMIM:270150	Sjogren's syndrome	MGI:1858204	Map3k14	Mouse	64	10	1	183	0	64	true
OMIM:226700	Junctional epidermolysis bullosa, Herlitz type	MGI:99913	Lamc2	Mouse	45	10	1	18	3	27	true
OMIM:145500	Essential hypertension	MGI:95317	Eln	Mouse	27	10	1	3	13	31	false
OMIM:241510	Hypophosphatasia, Childhood	MGI:87983	Alpl	Mouse	48	10	1	17	1	31	true
OMIM:612780	Seizures, Sensorineural Deafness, Ataxia, Mental Retardation, and Electrolyte Imbalance	ZFIN:ZDB-GENE-130726-1	kcnj10a	Zebrafish	34	10	1	25	1	15	true
OMIM:187800	Platelet-type bleeding disorder 16	MGI:96601	Itga2b	Mouse	72	10	1	4	2	18	false
OMIM:307800	Hypophosphatemic Rickets, X-Linked Dominant	MGI:1891427	Fgf23	Mouse	52	10	3	32	2	57	true
OMIM:164200	Oculodentodigital dysplasia	MGI:95713	Gja1	Mouse	53	10	5	140	2	208	false
OMIM:602522	Bartter Syndrome, Type 4A	MGI:2153465	Bsnd	Mouse	63	10	2	26	3	27	true
OMIM:268000	Retinitis Pigmentosa	MGI:97526	Pde6g	Mouse	57	10	1	3	41	5	true
OMIM:105650	Diamond-Blackfan Anemia 1	MGI:88467	Col1a1	Mouse	54	10	4	44	1	325	true
OMIM:182940	Neural Tube Defects, Susceptibility to	MGI:97485	Pax1	Mouse	44	10	1	7	5	60	true
OMIM:610357	Spastic paraplegia 30, autosomal recessive	MGI:108391	Kif1a	Mouse	52	11	2	12	1	21	true
OMIM:155255	medulloblastoma	MGI:105388	Cdkn2c	Mouse	56	11	4	52	46	49	false
OMIM:142340	Congenital diaphragmatic hernia	MGI:1315202	Slit3	Mouse	67	11	4	1	1	26	true
OMIM:159900	Dystonia 11, Myoclonic	MGI:1329042	Sgce	Mouse	55	11	2	9	4	7	false
OMIM:249420	Frank Ter Haar syndrome	MGI:2442062	Sh3pxd2b	Mouse	49	11	1	36	1	50	false
OMIM:271980	Succinic Semialdehyde Dehydrogenase Deficiency	MGI:2441982	Aldh5a1	Mouse	61	11	1	25	1	11	true
OMIM:616204	Spinocerebellar ataxia, autosomal recessive 18	MGI:95813	Grid2	Mouse	49	11	2	18	1	94	true
OMIM:119800	clubfoot	MGI:1856703	cl	Mouse	49	11	1	66	2	44	false
OMIM:183600	Split-Hand/Foot Malformation 1	MGI:101926	Dlx5	Mouse	58	11	1	13	3	156	true
OMIM:614286	Myelodysplastic Syndrome	MGI:1098280	Crebbp	Mouse	54	11	1	329	56	138	false
OMIM:312870	Simpson-Golabi-Behmel syndrome	MGI:104903	Gpc3	Mouse	53	11	8	143	4	63	false
OMIM:613731	Retinitis pigmentosa 4	MGI:97914	Rho	Mouse	67	11	10	5	1	41	true
OMIM:220200	DWS	MGI:1891217	Zfp423	Mouse	54	11	1	306	10	50	false
